   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -1176.58       39.2175       78.2125       39.2175       78.2125       0.00000       0.00000       117.430       39.2175       39.2173       38.9952       0.00000       0.00000       0.00000    
  0.109648E-03  -1086.57       36.2667       72.3107       36.2667       72.3107       0.00000       0.00000       108.577       36.2667       36.2664       36.0443       0.00000       0.00000       0.00000    
  0.120226E-03  -1007.11       33.6599       67.0969       33.6599       67.0969       0.00000       0.00000       100.757       33.6599       33.6596       33.4373       0.00000       0.00000       0.00000    
  0.131825E-03  -931.494       31.1789       62.1346       31.1789       62.1346       0.00000       0.00000       93.3135       31.1789       31.1785       30.9561       0.00000       0.00000       0.00000    
  0.144543E-03  -861.401       28.8780       57.5325       28.8780       57.5325       0.00000       0.00000       86.4106       28.8780       28.8776       28.6550       0.00000       0.00000       0.00000    
  0.158489E-03  -798.041       26.7969       53.3699       26.7969       53.3699       0.00000       0.00000       80.1668       26.7969       26.7963       26.5736       0.00000       0.00000       0.00000    
  0.173779E-03  -737.803       24.8176       49.4109       24.8176       49.4109       0.00000       0.00000       74.2285       24.8176       24.8169       24.5940       0.00000       0.00000       0.00000    
  0.190545E-03  -683.272       23.0246       45.8245       23.0246       45.8245       0.00000       0.00000       68.8491       23.0246       23.0237       22.8008       0.00000       0.00000       0.00000    
  0.208928E-03  -632.733       21.3618       42.4986       21.3618       42.4986       0.00000       0.00000       63.8604       21.3618       21.3608       21.1377       0.00000       0.00000       0.00000    
  0.229085E-03  -584.769       19.7831       39.3407       19.7831       39.3407       0.00000       0.00000       59.1238       19.7831       19.7819       19.5588       0.00000       0.00000       0.00000    
  0.251186E-03  -542.345       18.3852       36.5444       18.3852       36.5444       0.00000       0.00000       54.9296       18.3852       18.3838       18.1605       0.00000       0.00000       0.00000    
  0.275420E-03  -502.055       17.0570       33.8874       17.0570       33.8874       0.00000       0.00000       50.9444       17.0570       17.0554       16.8320       0.00000       0.00000       0.00000    
  0.301992E-03  -464.634       15.8225       31.4176       15.8225       31.4176       0.00000       0.00000       47.2401       15.8225       15.8205       15.5971       0.00000       0.00000       0.00000    
  0.331127E-03  -430.873       14.7074       29.1868       14.7074       29.1868       0.00000       0.00000       43.8942       14.7074       14.7051       14.4816       0.00000       0.00000       0.00000    
  0.363073E-03  -398.768       13.6464       27.0641       13.6464       27.0641       0.00000       0.00000       40.7105       13.6464       13.6438       13.4203       0.00000       0.00000       0.00000    
  0.398101E-03  -369.646       12.6829       25.1362       12.6829       25.1362       0.00000       0.00000       37.8192       12.6829       12.6799       12.4563       0.00000       0.00000       0.00000    
  0.436509E-03  -342.704       11.7907       23.3507       11.7907       23.3507       0.00000       0.00000       35.1414       11.7907       11.7872       11.5636       0.00000       0.00000       0.00000    
  0.478622E-03  -317.128       10.9431       21.6545       10.9431       21.6545       0.00000       0.00000       32.5975       10.9431       10.9390       10.7154       0.00000       0.00000       0.00000    
  0.524798E-03  -294.454       10.1904       20.1479       10.1904       20.1479       0.00000       0.00000       30.3383       10.1904       10.1857       9.96218       0.00000       0.00000       0.00000    
  0.575429E-03  -272.957       9.47623       18.7183       9.47623       18.7183       0.00000       0.00000       28.1945       9.47623       9.47086       9.24739       0.00000       0.00000       0.00000    
  0.630945E-03  -252.945       8.81069       17.3857       8.81069       17.3857       0.00000       0.00000       26.1964       8.81069       8.80455       8.58117       0.00000       0.00000       0.00000    
  0.691816E-03  -234.913       8.21009       16.1828       8.21009       16.1828       0.00000       0.00000       24.3929       8.21009       8.20303       7.97979       0.00000       0.00000       0.00000    
  0.758561E-03  -217.757       7.63820       15.0372       7.63820       15.0372       0.00000       0.00000       22.6754       7.63820       7.63016       7.40708       0.00000       0.00000       0.00000    
  0.831745E-03  -202.153       7.11727       13.9933       7.11727       13.9933       0.00000       0.00000       21.1106       7.11727       7.10809       6.88522       0.00000       0.00000       0.00000    
  0.911989E-03  -187.732       6.63528       13.0270       6.63528       13.0270       0.00000       0.00000       19.6622       6.63528       6.62479       6.40218       0.00000       0.00000       0.00000    
  0.999975E-03  -174.031       6.17699       12.1079       6.17699       12.1079       0.00000       0.00000       18.2849       6.17699       6.16510       5.94279       0.00000       0.00000       0.00000    
  0.109645E-02  -161.842       5.76858       11.2881       5.76858       11.2881       0.00000       0.00000       17.0567       5.76858       5.75501       5.53309       0.00000       0.00000       0.00000    
  0.120223E-02  -150.297       5.38145       10.5106       5.38145       10.5106       0.00000       0.00000       15.8921       5.38145       5.36604       5.14456       0.00000       0.00000       0.00000    
  0.131822E-02  -139.514       5.01957       9.78331       5.01957       9.78331       0.00000       0.00000       14.8029       5.01957       5.00214       4.78117       0.00000       0.00000       0.00000    
  0.144540E-02  -129.795       4.69304       9.12610       4.69304       9.12610       0.00000       0.00000       13.8191       4.69304       4.67322       4.45287       0.00000       0.00000       0.00000    
  0.158485E-02  -120.535       4.38180       8.49916       4.38180       8.49916       0.00000       0.00000       12.8810       4.38180       4.35941       4.13975       0.00000       0.00000       0.00000    
  0.173775E-02  -112.074       4.09728       7.92506       4.09728       7.92506       0.00000       0.00000       12.0223       4.09728       4.07196       3.85310       0.00000       0.00000       0.00000    
  0.190540E-02  -104.250       3.83412       7.39304       3.83412       7.39304       0.00000       0.00000       11.2272       3.83412       3.80548       3.58756       0.00000       0.00000       0.00000    
  0.208923E-02  -96.8018       3.58362       6.88594       3.58362       6.88594       0.00000       0.00000       10.4696       3.58362       3.55143       3.33451       0.00000       0.00000       0.00000    
  0.229079E-02  -90.1330       3.35949       6.43051       3.35949       6.43051       0.00000       0.00000       9.79000       3.35949       3.32310       3.10741       0.00000       0.00000       0.00000    
  0.251180E-02  -83.8116       3.14721       5.99818       3.14721       5.99818       0.00000       0.00000       9.14539       3.14721       3.10626       2.89192       0.00000       0.00000       0.00000    
  0.275413E-02  -77.8777       2.94817       5.59159       2.94817       5.59159       0.00000       0.00000       8.53976       2.94817       2.90222       2.68937       0.00000       0.00000       0.00000    
  0.301984E-02  -72.5083       2.76859       5.22258       2.76859       5.22258       0.00000       0.00000       7.99117       2.76859       2.71684       2.50574       0.00000       0.00000       0.00000    
  0.331118E-02  -67.3766       2.59727       4.86941       2.59727       4.86941       0.00000       0.00000       7.46668       2.59727       2.53930       2.33010       0.00000       0.00000       0.00000    
  0.363064E-02  -62.6526       2.44018       4.54339       2.44018       4.54339       0.00000       0.00000       6.98356       2.44018       2.37522       2.16817       0.00000       0.00000       0.00000    
  0.398091E-02  -58.2666       2.29504       4.23988       2.29504       4.23988       0.00000       0.00000       6.53492       2.29504       2.22225       2.01763       0.00000       0.00000       0.00000    
  0.436498E-02  -54.0752       2.15681       3.94934       2.15681       3.94934       0.00000       0.00000       6.10614       2.15681       2.07567       1.87366       0.00000       0.00000       0.00000    
  0.478610E-02  -50.2816       2.03287       3.68523       2.03287       3.68523       0.00000       0.00000       5.71810       2.03287       1.94211       1.74312       0.00000       0.00000       0.00000    
  0.524785E-02  -46.6744       1.91574       3.43346       1.91574       3.43346       0.00000       0.00000       5.34920       1.91574       1.81458       1.61888       0.00000       0.00000       0.00000    
  0.575415E-02  -43.2626       1.80574       3.19462       1.80574       3.19462       0.00000       0.00000       5.00036       1.80574       1.69339       1.50123       0.00000       0.00000       0.00000    
  0.630929E-02  -40.1499       1.70688       2.97544       1.70688       2.97544       0.00000       0.00000       4.68232       1.70688       1.58176       1.39368       0.00000       0.00000       0.00000    
  0.691799E-02  -37.1609       1.61267       2.76432       1.61267       2.76432       0.00000       0.00000       4.37699       1.61267       1.47404       1.29028       0.00000       0.00000       0.00000    
  0.758542E-02  -34.3807       1.52638       2.56678       1.52638       2.56678       0.00000       0.00000       4.09316       1.52638       1.37289       1.19389       0.00000       0.00000       0.00000    
  0.831724E-02  -31.7831       1.44714       2.38094       1.44714       2.38094       0.00000       0.00000       3.82809       1.44714       1.27735       1.10359       0.00000       0.00000       0.00000    
  0.911966E-02  -29.2933       1.37197       2.20183       1.37197       2.20183       0.00000       0.00000       3.57380       1.37197       1.18504       1.01680       0.00000       0.00000       0.00000    
  0.999950E-02  -27.0592       1.30586       2.03740       1.30586       2.03740       0.00000       0.00000       3.34326       1.30586       1.09971      0.937689       0.00000       0.00000       0.00000    
  0.109642E-01  -24.8773       1.24242       1.87709       1.24242       1.87709       0.00000       0.00000       3.11951       1.24242       1.01633      0.860760       0.00000       0.00000       0.00000    
  0.120220E-01  -22.8171       1.18440       1.72515       1.18440       1.72515       0.00000       0.00000       2.90956       1.18440      0.936891      0.788263       0.00000       0.00000       0.00000    
  0.131819E-01  -20.8820       1.13136       1.58088       1.13136       1.58088       0.00000       0.00000       2.71224       1.13136      0.861056      0.719822       0.00000       0.00000       0.00000    
  0.144536E-01  -19.0636       1.08295       1.44370       1.08295       1.44370       0.00000       0.00000       2.52666       1.08295      0.788557      0.655146       0.00000       0.00000       0.00000    
  0.158481E-01  -17.3480       1.03860       1.31279       1.03860       1.31279       0.00000       0.00000       2.35139       1.03860      0.719007      0.593785       0.00000       0.00000       0.00000    
  0.173770E-01  -15.7307      0.998106       1.18792      0.998106       1.18792       0.00000       0.00000       2.18602      0.998106      0.652312      0.535607       0.00000       0.00000       0.00000    
  0.190535E-01  -14.2169      0.961596       1.06950      0.961596       1.06950       0.00000       0.00000       2.03109      0.961596      0.588694      0.480804       0.00000       0.00000       0.00000    
  0.208917E-01  -12.8007      0.928760      0.957311      0.928760      0.957311       0.00000       0.00000       1.88607      0.928760      0.528086      0.429226       0.00000       0.00000       0.00000    
  0.229073E-01  -11.4729      0.899162      0.850962      0.899162      0.850962       0.00000       0.00000       1.75012      0.899162      0.470335      0.380627       0.00000       0.00000       0.00000    
