   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   4264.20      -3689.29      -6157.54      -3689.29      -6157.54       0.00000       0.00000      -9846.82      -3689.29      -3688.95      -2468.58       0.00000       0.00000       0.00000    
  0.109648E-03   3908.28      -3382.85      -5646.03      -3382.85      -5646.03       0.00000       0.00000      -9028.87      -3382.85      -3382.51      -2263.52       0.00000       0.00000       0.00000    
  0.120226E-03   3596.74      -3114.87      -5198.72      -3114.87      -5198.72       0.00000       0.00000      -8313.58      -3114.87      -3114.53      -2084.19       0.00000       0.00000       0.00000    
  0.131825E-03   3301.29      -2860.82      -4774.66      -2860.82      -4774.66       0.00000       0.00000      -7635.47      -2860.82      -2860.48      -1914.18       0.00000       0.00000       0.00000    
  0.144543E-03   3028.86      -2626.71      -4383.89      -2626.71      -4383.89       0.00000       0.00000      -7010.60      -2626.71      -2626.37      -1757.52       0.00000       0.00000       0.00000    
  0.158489E-03   2784.28      -2416.71      -4033.34      -2416.71      -4033.34       0.00000       0.00000      -6450.05      -2416.71      -2416.36      -1616.98       0.00000       0.00000       0.00000    
  0.173779E-03   2552.54      -2217.82      -3701.35      -2217.82      -3701.35       0.00000       0.00000      -5919.17      -2217.82      -2217.47      -1483.89       0.00000       0.00000       0.00000    
  0.190545E-03   2344.19      -2039.16      -3403.14      -2039.16      -3403.14       0.00000       0.00000      -5442.30      -2039.16      -2038.81      -1364.33       0.00000       0.00000       0.00000    
  0.208928E-03   2152.06      -1874.52      -3128.31      -1874.52      -3128.31       0.00000       0.00000      -5002.83      -1874.52      -1874.16      -1254.15       0.00000       0.00000       0.00000    
  0.229085E-03   1970.39      -1718.91      -2868.57      -1718.91      -2868.57       0.00000       0.00000      -4587.48      -1718.91      -1718.55      -1150.02       0.00000       0.00000       0.00000    
  0.251186E-03   1811.03      -1582.57      -2640.99      -1582.57      -2640.99       0.00000       0.00000      -4223.56      -1582.57      -1582.21      -1058.78       0.00000       0.00000       0.00000    
  0.275420E-03   1660.19      -1453.59      -2425.69      -1453.59      -2425.69       0.00000       0.00000      -3879.27      -1453.59      -1453.22      -972.461       0.00000       0.00000       0.00000    
  0.301992E-03   1520.81      -1334.49      -2226.88      -1334.49      -2226.88       0.00000       0.00000      -3561.36      -1334.49      -1334.12      -892.758       0.00000       0.00000       0.00000    
  0.331127E-03   1395.93      -1227.88      -2048.93      -1227.88      -2048.93       0.00000       0.00000      -3276.81      -1227.88      -1227.51      -821.416       0.00000       0.00000       0.00000    
  0.363073E-03   1277.58      -1126.90      -1880.37      -1126.90      -1880.37       0.00000       0.00000      -3007.27      -1126.90      -1126.53      -753.840       0.00000       0.00000       0.00000    
  0.398101E-03   1170.96      -1036.01      -1728.66      -1036.01      -1728.66       0.00000       0.00000      -2764.67      -1036.01      -1035.64      -693.020       0.00000       0.00000       0.00000    
  0.436509E-03   1072.84      -952.434      -1589.15      -952.434      -1589.15       0.00000       0.00000      -2541.58      -952.434      -952.056      -637.090       0.00000       0.00000       0.00000    
