   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   132.310      -3.03117      -6.06234      -3.03117      -6.06234       0.00000       0.00000      -9.09351      -3.03117      -3.03117      -3.03117       0.00000       0.00000       0.00000    
  0.109648E-03   116.085      -2.65165      -5.30329      -2.65165      -5.30329       0.00000       0.00000      -7.95494      -2.65165      -2.65165      -2.65164       0.00000       0.00000       0.00000    
  0.120226E-03   102.466      -2.34043      -4.68085      -2.34043      -4.68085       0.00000       0.00000      -7.02128      -2.34043      -2.34043      -2.34042       0.00000       0.00000       0.00000    
  0.131825E-03   89.7660      -2.05293      -4.10584      -2.05293      -4.10584       0.00000       0.00000      -6.15877      -2.05293      -2.05292      -2.05292       0.00000       0.00000       0.00000    
  0.144543E-03   78.3837      -1.79938      -3.59875      -1.79938      -3.59875       0.00000       0.00000      -5.39814      -1.79938      -1.79938      -1.79938       0.00000       0.00000       0.00000    
  0.158489E-03   68.5505      -1.58504      -3.17006      -1.58504      -3.17006       0.00000       0.00000      -4.75510      -1.58504      -1.58503      -1.58503       0.00000       0.00000       0.00000    
  0.173779E-03   59.4214      -1.38834      -2.77666      -1.38834      -2.77666       0.00000       0.00000      -4.16500      -1.38834      -1.38833      -1.38833       0.00000       0.00000       0.00000    
  0.190545E-03   51.5555      -1.22297      -2.44592      -1.22297      -2.44592       0.00000       0.00000      -3.66889      -1.22297      -1.22296      -1.22296       0.00000       0.00000       0.00000    
  0.208928E-03   44.5371      -1.07817      -2.15632      -1.07817      -2.15632       0.00000       0.00000      -3.23449      -1.07817      -1.07816      -1.07816       0.00000       0.00000       0.00000    
  0.229085E-03   38.0643      -.946596      -1.89317      -.946596      -1.89317       0.00000       0.00000      -2.83977      -.946596      -.946586      -.946584       0.00000       0.00000       0.00000    
  0.251186E-03   32.7176      -.841705      -1.68338      -.841705      -1.68338       0.00000       0.00000      -2.52509      -.841705      -.841694      -.841691       0.00000       0.00000       0.00000    
  0.275420E-03   27.7848      -.746370      -1.49271      -.746370      -1.49271       0.00000       0.00000      -2.23908      -.746370      -.746357      -.746355       0.00000       0.00000       0.00000    
  0.301992E-03   23.4086      -.663880      -1.32773      -.663880      -1.32773       0.00000       0.00000      -1.99161      -.663880      -.663865      -.663863       0.00000       0.00000       0.00000    
  0.331127E-03   19.7078      -.596532      -1.19303      -.596532      -1.19303       0.00000       0.00000      -1.78956      -.596532      -.596516      -.596513       0.00000       0.00000       0.00000    
  0.363073E-03   16.3040      -.535730      -1.07142      -.535730      -1.07142       0.00000       0.00000      -1.60715      -.535730      -.535712      -.535709       0.00000       0.00000       0.00000    
  0.398101E-03   13.4222      -.486257      -.972470      -.486257      -.972470       0.00000       0.00000      -1.45873      -.486257      -.486237      -.486233       0.00000       0.00000       0.00000    
  0.436509E-03   10.9003      -.444316      -.888583      -.444316      -.888583       0.00000       0.00000      -1.33290      -.444316      -.444294      -.444290       0.00000       0.00000       0.00000    
  0.478622E-03   8.60271      -.407056      -.814057      -.407056      -.814057       0.00000       0.00000      -1.22111      -.407056      -.407031      -.407026       0.00000       0.00000       0.00000    
  0.524798E-03   6.75548      -.378840      -.757620      -.378840      -.757620       0.00000       0.00000      -1.13646      -.378840      -.378812      -.378808       0.00000       0.00000       0.00000    
  0.575429E-03   5.07868      -.353891      -.707715      -.353891      -.707715       0.00000       0.00000      -1.06161      -.353891      -.353860      -.353855       0.00000       0.00000       0.00000    
  0.630945E-03   3.61706      -.333065      -.666055      -.333065      -.666055       0.00000       0.00000      -.999121      -.333065      -.333031      -.333025       0.00000       0.00000       0.00000    
  0.691816E-03   2.42177      -.317071      -.634059      -.317071      -.634059       0.00000       0.00000      -.951130      -.317071      -.317033      -.317026       0.00000       0.00000       0.00000    
  0.758561E-03   1.33870      -.303042      -.605990      -.303042      -.605990       0.00000       0.00000      -.909032      -.303042      -.302999      -.302992       0.00000       0.00000       0.00000    
  0.831745E-03  0.447692      -.292279      -.584454      -.292279      -.584454       0.00000       0.00000      -.876733      -.292279      -.292231      -.292223       0.00000       0.00000       0.00000    
  0.911989E-03  -.309846      -.283616      -.567118      -.283616      -.567118       0.00000       0.00000      -.850734      -.283616      -.283563      -.283555       0.00000       0.00000       0.00000    
  0.999975E-03  -.987081      -.276205      -.552282      -.276205      -.552282       0.00000       0.00000      -.828487      -.276205      -.276146      -.276137       0.00000       0.00000       0.00000    
  0.109645E-02  -1.51074      -.270987      -.541832      -.270987      -.541832       0.00000       0.00000      -.812819      -.270987      -.270921      -.270911       0.00000       0.00000       0.00000    
  0.120223E-02  -1.97648      -.266499      -.532840      -.266499      -.532840       0.00000       0.00000      -.799339      -.266499      -.266425      -.266415       0.00000       0.00000       0.00000    
  0.131822E-02  -2.37352      -.262876      -.525577      -.262876      -.525577       0.00000       0.00000      -.788453      -.262876      -.262794      -.262783       0.00000       0.00000       0.00000    
  0.144540E-02  -2.68737      -.260134      -.520072      -.260134      -.520072       0.00000       0.00000      -.780206      -.260134      -.260042      -.260030       0.00000       0.00000       0.00000    
  0.158485E-02  -2.96882      -.257687      -.515157      -.257687      -.515157       0.00000       0.00000      -.772844      -.257687      -.257585      -.257572       0.00000       0.00000       0.00000    
  0.173775E-02  -3.19745      -.255667      -.511092      -.255667      -.511092       0.00000       0.00000      -.766759      -.255667      -.255553      -.255539       0.00000       0.00000       0.00000    
  0.190540E-02  -3.39207      -.253809      -.507350      -.253809      -.507350       0.00000       0.00000      -.761159      -.253809      -.253682      -.253668       0.00000       0.00000       0.00000    
  0.208923E-02  -3.56730      -.252032      -.503767      -.252032      -.503767       0.00000       0.00000      -.755800      -.252032      -.251891      -.251876       0.00000       0.00000       0.00000    
  0.229079E-02  -3.71091      -.250254      -.500177      -.250254      -.500177       0.00000       0.00000      -.750431      -.250254      -.250097      -.250080       0.00000       0.00000       0.00000    
  0.251180E-02  -3.84503      -.248395      -.496422      -.248395      -.496422       0.00000       0.00000      -.744816      -.248395      -.248219      -.248202       0.00000       0.00000       0.00000    
  0.275413E-02  -3.96857      -.246445      -.492482      -.246445      -.492482       0.00000       0.00000      -.738926      -.246445      -.246250      -.246232       0.00000       0.00000       0.00000    
  0.301984E-02  -4.08441      -.244251      -.488048      -.244251      -.488048       0.00000       0.00000      -.732298      -.244251      -.244033      -.244015       0.00000       0.00000       0.00000    
  0.331118E-02  -4.19920      -.241929      -.483356      -.241929      -.483356       0.00000       0.00000      -.725285      -.241929      -.241687      -.241668       0.00000       0.00000       0.00000    
  0.363064E-02  -4.31411      -.239368      -.478177      -.239368      -.478177       0.00000       0.00000      -.717545      -.239368      -.239098      -.239079       0.00000       0.00000       0.00000    
  0.398091E-02  -4.43393      -.236572      -.472523      -.236572      -.472523       0.00000       0.00000      -.709095      -.236572      -.236271      -.236251       0.00000       0.00000       0.00000    
  0.436498E-02  -4.55712      -.233639      -.466591      -.233639      -.466591       0.00000       0.00000      -.700231      -.233639      -.233306      -.233285       0.00000       0.00000       0.00000    
  0.478610E-02  -4.69181      -.230416      -.460066      -.230416      -.460066       0.00000       0.00000      -.690482      -.230416      -.230043      -.230023       0.00000       0.00000       0.00000    
  0.524785E-02  -4.83455      -.227063      -.453277      -.227063      -.453277       0.00000       0.00000      -.680340      -.227063      -.226649      -.226629       0.00000       0.00000       0.00000    
  0.575415E-02  -4.98573      -.223576      -.446212      -.223576      -.446212       0.00000       0.00000      -.669787      -.223576      -.223115      -.223096       0.00000       0.00000       0.00000    
  0.630929E-02  -5.15402      -.219925      -.438805      -.219925      -.438805       0.00000       0.00000      -.658730      -.219925      -.219411      -.219394       0.00000       0.00000       0.00000    
  0.691799E-02  -5.33053      -.216230      -.431301      -.216230      -.431301       0.00000       0.00000      -.647532      -.216230      -.215658      -.215643       0.00000       0.00000       0.00000    
  0.758542E-02  -5.52173      -.212477      -.423668      -.212477      -.423668       0.00000       0.00000      -.636144      -.212477      -.211840      -.211828       0.00000       0.00000       0.00000    
  0.831724E-02  -5.72794      -.208747      -.416066      -.208747      -.416066       0.00000       0.00000      -.624813      -.208747      -.208037      -.208029       0.00000       0.00000       0.00000    
  0.911966E-02  -5.87279      -.201361      -.401141      -.201361      -.401141       0.00000       0.00000      -.602502      -.201361      -.200572      -.200568       0.00000       0.00000       0.00000    
  0.999950E-02  -5.40983      -.161143      -.320504      -.161143      -.320504       0.00000       0.00000      -.481647      -.161143      -.160250      -.160254       0.00000       0.00000       0.00000    
  0.109642E-01  -5.34930      -.138138      -.274294      -.138138      -.274294       0.00000       0.00000      -.412432      -.138138      -.137141      -.137153       0.00000       0.00000       0.00000    
  0.120220E-01  -5.69535      -.132246      -.262296      -.132246      -.262296       0.00000       0.00000      -.394542      -.132246      -.131137      -.131159       0.00000       0.00000       0.00000    
  0.131819E-01  -6.05908      -.126661      -.250890      -.126661      -.250890       0.00000       0.00000      -.377551      -.126661      -.125428      -.125462       0.00000       0.00000       0.00000    
  0.144536E-01  -6.43952      -.121456      -.240218      -.121456      -.240218       0.00000       0.00000      -.361674      -.121456      -.120084      -.120133       0.00000       0.00000       0.00000    
  0.158481E-01  -6.83465      -.116673      -.230364      -.116673      -.230364       0.00000       0.00000      -.347037      -.116673      -.115148      -.115215       0.00000       0.00000       0.00000    
  0.173770E-01  -7.24356      -.112378      -.221459      -.112378      -.221459       0.00000       0.00000      -.333837      -.112378      -.110685      -.110774       0.00000       0.00000       0.00000    
  0.190535E-01  -7.66637      -.108699      -.213755      -.108699      -.213755       0.00000       0.00000      -.322455      -.108699      -.106820      -.106935       0.00000       0.00000       0.00000    
  0.208917E-01  -8.10139      -.105707      -.207388      -.105707      -.207388       0.00000       0.00000      -.313095      -.105707      -.103621      -.103767       0.00000       0.00000       0.00000    
  0.229073E-01  -8.54646      -.103430      -.202418      -.103430      -.202418       0.00000       0.00000      -.305847      -.103430      -.101118      -.101300       0.00000       0.00000       0.00000    
  0.251174E-01  -9.00022      -.101939      -.198984      -.101939      -.198984       0.00000       0.00000      -.300923      -.101939      -.993804E-01  -.996038E-01   0.00000       0.00000       0.00000    
