   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -1934.23       73.7093       147.375       73.7093       147.375       0.00000       0.00000       221.084       73.7093       73.7093       73.6657       0.00000       0.00000       0.00000    
  0.109648E-03  -1784.20       68.1743       136.305       68.1743       136.305       0.00000       0.00000       204.480       68.1743       68.1743       68.1310       0.00000       0.00000       0.00000    
  0.120226E-03  -1651.21       63.2752       126.508       63.2752       126.508       0.00000       0.00000       189.783       63.2752       63.2752       63.2323       0.00000       0.00000       0.00000    
  0.131825E-03  -1524.48       58.6097       117.177       58.6097       117.177       0.00000       0.00000       175.787       58.6097       58.6097       58.5671       0.00000       0.00000       0.00000    
  0.144543E-03  -1406.71       54.2786       108.515       54.2786       108.515       0.00000       0.00000       162.793       54.2786       54.2786       54.2363       0.00000       0.00000       0.00000    
  0.158489E-03  -1299.94       50.3571       100.672       50.3571       100.672       0.00000       0.00000       151.029       50.3571       50.3570       50.3150       0.00000       0.00000       0.00000    
  0.173779E-03  -1198.27       46.6258       93.2099       46.6258       93.2099       0.00000       0.00000       139.836       46.6258       46.6258       46.5841       0.00000       0.00000       0.00000    
  0.190545E-03  -1105.95       43.2433       86.4451       43.2433       86.4451       0.00000       0.00000       129.688       43.2433       43.2432       43.2019       0.00000       0.00000       0.00000    
  0.208928E-03  -1020.22       40.1057       80.1702       40.1057       80.1702       0.00000       0.00000       120.276       40.1057       40.1056       40.0646       0.00000       0.00000       0.00000    
  0.229085E-03  -938.722       37.1261       74.2114       37.1261       74.2114       0.00000       0.00000       111.337       37.1261       37.1261       37.0853       0.00000       0.00000       0.00000    
  0.251186E-03  -866.407       34.4881       68.9357       34.4881       68.9357       0.00000       0.00000       103.424       34.4881       34.4881       34.4476       0.00000       0.00000       0.00000    
  0.275420E-03  -797.649       31.9823       63.9244       31.9823       63.9244       0.00000       0.00000       95.9067       31.9823       31.9823       31.9421       0.00000       0.00000       0.00000    
  0.301992E-03  -733.671       29.6542       59.2685       29.6542       59.2685       0.00000       0.00000       88.9227       29.6542       29.6542       29.6143       0.00000       0.00000       0.00000    
  0.331127E-03  -675.831       27.5540       55.0684       27.5540       55.0684       0.00000       0.00000       82.6224       27.5540       27.5540       27.5144       0.00000       0.00000       0.00000    
  0.363073E-03  -620.780       25.5573       51.0752       25.5573       51.0752       0.00000       0.00000       76.6325       25.5573       25.5572       25.5179       0.00000       0.00000       0.00000    
  0.398101E-03  -570.767       23.7474       47.4556       23.7474       47.4556       0.00000       0.00000       71.2029       23.7474       23.7473       23.7083       0.00000       0.00000       0.00000    
  0.436509E-03  -524.464       22.0746       44.1104       22.0746       44.1104       0.00000       0.00000       66.1851       22.0746       22.0746       22.0358       0.00000       0.00000       0.00000    
  0.478622E-03  -480.486       20.4880       40.9373       20.4880       40.9373       0.00000       0.00000       61.4253       20.4880       20.4879       20.4495       0.00000       0.00000       0.00000    
  0.524798E-03  -441.491       19.0852       38.1321       19.0852       38.1321       0.00000       0.00000       57.2173       19.0852       19.0851       19.0470       0.00000       0.00000       0.00000    
  0.575429E-03  -404.535       17.7574       35.4768       17.7574       35.4768       0.00000       0.00000       53.2342       17.7574       17.7573       17.7194       0.00000       0.00000       0.00000    
  0.630945E-03  -370.151       16.5243       33.0108       16.5243       33.0108       0.00000       0.00000       49.5351       16.5243       16.5242       16.4866       0.00000       0.00000       0.00000    
  0.691816E-03  -339.237       15.4184       30.7992       15.4184       30.7992       0.00000       0.00000       46.2176       15.4184       15.4182       15.3809       0.00000       0.00000       0.00000    
  0.758561E-03  -309.865       14.3689       28.7004       14.3689       28.7004       0.00000       0.00000       43.0693       14.3689       14.3687       14.3317       0.00000       0.00000       0.00000    
  0.831745E-03  -283.243       13.4197       26.8023       13.4197       26.8023       0.00000       0.00000       40.2220       13.4197       13.4195       13.3828       0.00000       0.00000       0.00000    
  0.911989E-03  -258.745       12.5476       25.0583       12.5476       25.0583       0.00000       0.00000       37.6059       12.5476       12.5474       12.5109       0.00000       0.00000       0.00000    
  0.999975E-03  -235.543       11.7225       23.4084       11.7225       23.4084       0.00000       0.00000       35.1309       11.7225       11.7223       11.6861       0.00000       0.00000       0.00000    
  0.109645E-02  -215.095       10.9967       21.9569       10.9967       21.9569       0.00000       0.00000       32.9536       10.9967       10.9964       10.9605       0.00000       0.00000       0.00000    
  0.120223E-02  -195.839       10.3134       20.5907       10.3134       20.5907       0.00000       0.00000       30.9041       10.3134       10.3132       10.2775       0.00000       0.00000       0.00000    
  0.131822E-02  -177.996       9.68072       19.3254       9.68072       19.3254       0.00000       0.00000       29.0062       9.68072       9.68041       9.64503       0.00000       0.00000       0.00000    
  0.144540E-02  -162.159       9.11903       18.2023       9.11903       18.2023       0.00000       0.00000       27.3213       9.11903       9.11869       9.08358       0.00000       0.00000       0.00000    
  0.158485E-02  -147.200       8.58815       17.1407       8.58815       17.1407       0.00000       0.00000       25.7288       8.58815       8.58776       8.55292       0.00000       0.00000       0.00000    
  0.173775E-02  -133.782       8.11114       16.1869       8.11114       16.1869       0.00000       0.00000       24.2980       8.11114       8.11071       8.07615       0.00000       0.00000       0.00000    
  0.190540E-02  -121.617       7.67734       15.3194       7.67734       15.3194       0.00000       0.00000       22.9968       7.67734       7.67685       7.64256       0.00000       0.00000       0.00000    
  0.208923E-02  -110.197       7.26913       14.5032       7.26913       14.5032       0.00000       0.00000       21.7723       7.26913       7.26859       7.23457       0.00000       0.00000       0.00000    
  0.229079E-02  -100.353       6.91427       13.7936       6.91427       13.7936       0.00000       0.00000       20.7078       6.91427       6.91366       6.87991       0.00000       0.00000       0.00000    
  0.251180E-02  -91.2314       6.58335       13.1319       6.58335       13.1319       0.00000       0.00000       19.7152       6.58335       6.58268       6.54919       0.00000       0.00000       0.00000    
  0.275413E-02  -82.9155       6.27914       12.5236       6.27914       12.5236       0.00000       0.00000       18.8027       6.27914       6.27839       6.24518       0.00000       0.00000       0.00000    
  0.301984E-02  -75.8104       6.01406       11.9935       6.01406       11.9935       0.00000       0.00000       18.0076       6.01406       6.01322       5.98028       0.00000       0.00000       0.00000    
  0.331118E-02  -69.2266       5.76548       11.4964       5.76548       11.4964       0.00000       0.00000       17.2619       5.76548       5.76454       5.73188       0.00000       0.00000       0.00000    
  0.363064E-02  -63.5467       5.54522       11.0560       5.54522       11.0560       0.00000       0.00000       16.6012       5.54522       5.54417       5.51179       0.00000       0.00000       0.00000    
  0.398091E-02  -58.6439       5.34842       10.6624       5.34842       10.6624       0.00000       0.00000       16.0108       5.34842       5.34724       5.31514       0.00000       0.00000       0.00000    
  0.436498E-02  -54.1917       5.16510       10.2958       5.16510       10.2958       0.00000       0.00000       15.4609       5.16510       5.16380       5.13197       0.00000       0.00000       0.00000    
  0.478610E-02  -50.6892       5.00920       9.98394       5.00920       9.98394       0.00000       0.00000       14.9931       5.00920       5.00774       4.97620       0.00000       0.00000       0.00000    
  0.524785E-02  -47.6495       4.86594       9.69738       4.86594       9.69738       0.00000       0.00000       14.5633       4.86594       4.86431       4.83307       0.00000       0.00000       0.00000    
  0.575415E-02  -45.0950       4.73594       9.43731       4.73594       9.43731       0.00000       0.00000       14.1732       4.73594       4.73413       4.70318       0.00000       0.00000       0.00000    
  0.630929E-02  -43.3136       4.62569       9.21668       4.62569       9.21668       0.00000       0.00000       13.8424       4.62569       4.62367       4.59301       0.00000       0.00000       0.00000    
  0.691799E-02  -41.8607       4.52335       9.01184       4.52335       9.01184       0.00000       0.00000       13.5352       4.52335       4.52109       4.49074       0.00000       0.00000       0.00000    
  0.758542E-02  -40.9691       4.43419       8.83331       4.43419       8.83331       0.00000       0.00000       13.2675       4.43419       4.43167       4.40164       0.00000       0.00000       0.00000    
  0.831724E-02  -40.5865       4.35577       8.67622       4.35577       8.67622       0.00000       0.00000       13.0320       4.35577       4.35297       4.32325       0.00000       0.00000       0.00000    
  0.911966E-02  -40.5034       4.28331       8.53100       4.28331       8.53100       0.00000       0.00000       12.8143       4.28331       4.28020       4.25080       0.00000       0.00000       0.00000    
  0.999950E-02  -41.1235       4.22237       8.40874       4.22237       8.40874       0.00000       0.00000       12.6311       4.22237       4.21890       4.18985       0.00000       0.00000       0.00000    
  0.109642E-01  -41.9162       4.16473       8.29304       4.16473       8.29304       0.00000       0.00000       12.4578       4.16473       4.16087       4.13217       0.00000       0.00000       0.00000    
  0.120220E-01  -43.0872       4.11313       8.18933       4.11313       8.18933       0.00000       0.00000       12.3025       4.11313       4.10884       4.08050       0.00000       0.00000       0.00000    
  0.131819E-01  -44.6309       4.06589       8.09427       4.06589       8.09427       0.00000       0.00000       12.1602       4.06589       4.06112       4.03315       0.00000       0.00000       0.00000    
  0.144536E-01  -46.5221       4.02176       8.00536       4.02176       8.00536       0.00000       0.00000       12.0271       4.02176       4.01647       3.98889       0.00000       0.00000       0.00000    
  0.158481E-01  -48.7179       3.97947       7.92002       3.97947       7.92002       0.00000       0.00000       11.8995       3.97947       3.97359       3.94642       0.00000       0.00000       0.00000    
  0.173770E-01  -51.2018       3.93803       7.83629       3.93803       7.83629       0.00000       0.00000       11.7743       3.93803       3.93152       3.90477       0.00000       0.00000       0.00000    
  0.190535E-01  -53.9822       3.89638       7.75199       3.89638       7.75199       0.00000       0.00000       11.6484       3.89638       3.88915       3.86284       0.00000       0.00000       0.00000    
  0.208917E-01  -57.0332       3.85334       7.66483       3.85334       7.66483       0.00000       0.00000       11.5182       3.85334       3.84534       3.81949       0.00000       0.00000       0.00000    
  0.229073E-01  -60.3197       3.80800       7.57292       3.80800       7.57292       0.00000       0.00000       11.3809       3.80800       3.79914       3.77378       0.00000       0.00000       0.00000    
  0.251174E-01  -63.8259       3.75940       7.47437       3.75940       7.47437       0.00000       0.00000       11.2338       3.75940       3.74961       3.72476       0.00000       0.00000       0.00000    
  0.275406E-01  -67.5549       3.70608       7.36621       3.70608       7.36621       0.00000       0.00000       11.0723       3.70608       3.69526       3.67096       0.00000       0.00000       0.00000    
  0.301976E-01  -71.4802       3.64711       7.24659       3.64711       7.24659       0.00000       0.00000       10.8937       3.64711       3.63516       3.61143       0.00000       0.00000       0.00000    
  0.331110E-01  -75.5725       3.58190       7.11432       3.58190       7.11432       0.00000       0.00000       10.6962       3.58190       3.56872       3.54560       0.00000       0.00000       0.00000    
  0.363055E-01  -79.8161       3.50961       6.96771       3.50961       6.96771       0.00000       0.00000       10.4773       3.50961       3.49510       3.47261       0.00000       0.00000       0.00000    
  0.398081E-01  -84.2083       3.42851       6.80327       3.42851       6.80327       0.00000       0.00000       10.2318       3.42851       3.41254       3.39073       0.00000       0.00000       0.00000    
  0.436487E-01  -88.7245       3.33817       6.62015       3.33817       6.62015       0.00000       0.00000       9.95832       3.33817       3.32062       3.29953       0.00000       0.00000       0.00000    
  0.478598E-01  -93.3433       3.23848       6.41812       3.23848       6.41812       0.00000       0.00000       9.65660       3.23848       3.21923       3.19889       0.00000       0.00000       0.00000    
  0.524772E-01  -98.0529       3.12897       6.19623       3.12897       6.19623       0.00000       0.00000       9.32520       3.12897       3.10789       3.08834       0.00000       0.00000       0.00000    
  0.575400E-01  -102.853       3.00811       5.95141       3.00811       5.95141       0.00000       0.00000       8.95952       3.00811       2.98507       2.96635       0.00000       0.00000       0.00000    
  0.630913E-01  -107.736       2.87640       5.68466       2.87640       5.68466       0.00000       0.00000       8.56106       2.87640       2.85125       2.83341       0.00000       0.00000       0.00000    
  0.691782E-01  -112.701       2.73444       5.39719       2.73444       5.39719       0.00000       0.00000       8.13163       2.73444       2.70705       2.69013       0.00000       0.00000       0.00000    
  0.758523E-01  -117.765       2.58247       5.08949       2.58247       5.08949       0.00000       0.00000       7.67196       2.58247       2.55273       2.53676       0.00000       0.00000       0.00000    
  0.831703E-01  -122.979       2.41978       4.76010       2.41978       4.76010       0.00000       0.00000       7.17988       2.41978       2.38753       2.37257       0.00000       0.00000       0.00000    
  0.911943E-01  -128.400       2.24764       4.41162       2.24764       4.41162       0.00000       0.00000       6.65925       2.24764       2.21278       2.19884       0.00000       0.00000       0.00000    
  0.999925E-01  -134.175       2.06601       4.04403       2.06601       4.04403       0.00000       0.00000       6.11003       2.06601       2.02845       2.01558       0.00000       0.00000       0.00000    
  0.109639      -140.353       1.87609       3.65971       1.87609       3.65971       0.00000       0.00000       5.53580       1.87609       1.83575       1.82396       0.00000       0.00000       0.00000    
  0.120217      -147.198       1.67592       3.25476       1.67592       3.25476       0.00000       0.00000       4.93068       1.67592       1.63273       1.62203       0.00000       0.00000       0.00000    
  0.131815      -154.958       1.46378       2.82581       1.46378       2.82581       0.00000       0.00000       4.28958       1.46378       1.41770       1.40811       0.00000       0.00000       0.00000    
  0.144533      -164.051       1.23426       2.36209       1.23426       2.36209       0.00000       0.00000       3.59635       1.23426       1.18529       1.17680       0.00000       0.00000       0.00000    
  0.158477      -174.856      0.980222       1.84938      0.980222       1.84938       0.00000       0.00000       2.82960      0.980222      0.928393      0.920986       0.00000       0.00000       0.00000    
  0.173766      -187.986      0.687087       1.25859      0.687087       1.25859       0.00000       0.00000       1.94568      0.687087      0.632475      0.626117       0.00000       0.00000       0.00000    
  0.190530      -203.830      0.338341      0.556758      0.338341      0.556758       0.00000       0.00000      0.895099      0.338341      0.281056      0.275702       0.00000       0.00000       0.00000    
  0.208912      -222.914      -.957424E-01  -.315500      -.957424E-01  -.315500       0.00000       0.00000      -.411243      -.957424E-01  -.155543      -.159957       0.00000       0.00000       0.00000    
  0.229067      -245.073      -.642682      -1.41317      -.642682      -1.41317       0.00000       0.00000      -2.05585      -.642682      -.704812      -.708359       0.00000       0.00000       0.00000    
  0.251167      -269.640      -1.34782      -2.82687      -1.34782      -2.82687       0.00000       0.00000      -4.17468      -1.34782      -1.41205      -1.41482       0.00000       0.00000       0.00000    
  0.275399      -294.384      -2.23917      -4.61261      -2.23917      -4.61261       0.00000       0.00000      -6.85179      -2.23917      -2.30526      -2.30735       0.00000       0.00000       0.00000    
  0.301969      -314.764      -3.35587      -6.84863      -3.35587      -6.84863       0.00000       0.00000      -10.2045      -3.35587      -3.42356      -3.42507       0.00000       0.00000       0.00000    
  0.331102      -323.863      -4.68702      -9.51317      -4.68702      -9.51317       0.00000       0.00000      -14.2002      -4.68702      -4.75606      -4.75711       0.00000       0.00000       0.00000    
  0.363046      -309.430      -6.19741      -12.5358      -6.19741      -12.5358       0.00000       0.00000      -18.7332      -6.19741      -6.26758      -6.26826       0.00000       0.00000       0.00000    
  0.398071      -258.836      -7.76285      -15.6684      -7.76285      -15.6684       0.00000       0.00000      -23.4312      -7.76285      -7.83397      -7.83439       0.00000       0.00000       0.00000    
  0.436476      -152.561      -9.15950      -18.4630      -9.15950      -18.4630       0.00000       0.00000      -27.6225      -9.15950      -9.23138      -9.23161       0.00000       0.00000       0.00000    
