   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -1246.65       170.494       304.081       170.494       304.081       0.00000       0.00000       474.575       170.494       170.388       133.693       0.00000       0.00000       0.00000    
  0.109648E-03  -1164.44       160.423       285.943       160.423       285.943       0.00000       0.00000       446.366       160.423       160.313       125.629       0.00000       0.00000       0.00000    
  0.120226E-03  -1090.49       151.273       269.477       151.273       269.477       0.00000       0.00000       420.751       151.273       151.159       118.318       0.00000       0.00000       0.00000    
  0.131825E-03  -1019.60       142.470       253.640       142.470       253.640       0.00000       0.00000       396.110       142.470       142.351       111.289       0.00000       0.00000       0.00000    
  0.144543E-03  -953.115       134.162       238.702       134.162       238.702       0.00000       0.00000       372.864       134.162       134.039       104.663       0.00000       0.00000       0.00000    
  0.158489E-03  -892.092       126.475       224.891       126.475       224.891       0.00000       0.00000       351.366       126.475       126.348       98.5433       0.00000       0.00000       0.00000    
  0.173779E-03  -833.625       119.082       211.610       119.082       211.610       0.00000       0.00000       330.692       119.082       118.949       92.6608       0.00000       0.00000       0.00000    
  0.190545E-03  -779.875       112.230       199.311       112.230       199.311       0.00000       0.00000       311.541       112.230       112.093       87.2181       0.00000       0.00000       0.00000    
  0.208928E-03  -729.486       105.769       187.717       105.769       187.717       0.00000       0.00000       293.485       105.769       105.626       82.0911       0.00000       0.00000       0.00000    
  0.229085E-03  -681.266       99.5590       176.579       99.5590       176.579       0.00000       0.00000       276.138       99.5590       99.4109       77.1681       0.00000       0.00000       0.00000    
  0.251186E-03  -637.800       93.9063       166.447       93.9063       166.447       0.00000       0.00000       260.354       93.9063       93.7526       72.6949       0.00000       0.00000       0.00000    
  0.275420E-03  -596.199       88.4745       156.715       88.4745       156.715       0.00000       0.00000       245.189       88.4745       88.3150       68.3997       0.00000       0.00000       0.00000    
  0.301992E-03  -557.107       83.3395       147.518       83.3395       147.518       0.00000       0.00000       230.857       83.3395       83.1739       64.3437       0.00000       0.00000       0.00000    
  0.331127E-03  -521.277       78.5942       139.024       78.5942       139.024       0.00000       0.00000       217.618       78.5942       78.4223       60.6012       0.00000       0.00000       0.00000    
  0.363073E-03  -486.940       74.0283       130.853       74.0283       130.853       0.00000       0.00000       204.881       74.0283       73.8498       57.0028       0.00000       0.00000       0.00000    
  0.398101E-03  -455.315       69.7895       123.271       69.7895       123.271       0.00000       0.00000       193.061       69.7895       69.6042       53.6669       0.00000       0.00000       0.00000    
  0.436509E-03  -425.711       65.7969       116.133       65.7969       116.133       0.00000       0.00000       181.930       65.7969       65.6045       50.5282       0.00000       0.00000       0.00000    
  0.478622E-03  -397.377       61.9590       109.273       61.9590       109.273       0.00000       0.00000       171.232       61.9590       61.7593       47.5133       0.00000       0.00000       0.00000    
  0.524798E-03  -371.791       58.4590       103.020       58.4590       103.020       0.00000       0.00000       161.479       58.4590       58.2515       44.7684       0.00000       0.00000       0.00000    
  0.575429E-03  -347.342       55.1000       97.0207       55.1000       97.0207       0.00000       0.00000       152.121       55.1000       54.8846       42.1360       0.00000       0.00000       0.00000    
  0.630945E-03  -324.329       51.9192       91.3413       51.9192       91.3413       0.00000       0.00000       143.260       51.9192       51.6956       39.6457       0.00000       0.00000       0.00000    
  0.691816E-03  -303.273       48.9834       86.1013       48.9834       86.1013       0.00000       0.00000       135.085       48.9834       48.7511       37.3502       0.00000       0.00000       0.00000    
  0.758561E-03  -283.093       46.1578       81.0591       46.1578       81.0591       0.00000       0.00000       127.217       46.1578       45.9167       35.1424       0.00000       0.00000       0.00000    
  0.831745E-03  -264.480       43.5303       76.3715       43.5303       76.3715       0.00000       0.00000       119.902       43.5303       43.2798       33.0917       0.00000       0.00000       0.00000    
  0.911989E-03  -247.089       41.0585       71.9628       41.0585       71.9628       0.00000       0.00000       113.021       41.0585       40.7983       31.1645       0.00000       0.00000       0.00000    
  0.999975E-03  -230.445       38.6820       67.7244       38.6820       67.7244       0.00000       0.00000       106.406       38.6820       38.4118       29.3126       0.00000       0.00000       0.00000    
  0.109645E-02  -215.400       36.5110       63.8533       36.5110       63.8533       0.00000       0.00000       100.364       36.5110       36.2302       27.6231       0.00000       0.00000       0.00000    
  0.120223E-02  -201.052       34.4303       60.1435       34.4303       60.1435       0.00000       0.00000       94.5738       34.4303       34.1387       26.0048       0.00000       0.00000       0.00000    
  0.131822E-02  -187.531       32.4568       56.6249       32.4568       56.6249       0.00000       0.00000       89.0817       32.4568       32.1539       24.4710       0.00000       0.00000       0.00000    
  0.144540E-02  -175.192       30.6377       53.3814       30.6377       53.3814       0.00000       0.00000       84.0191       30.6377       30.3229       23.0585       0.00000       0.00000       0.00000    
  0.158485E-02  -163.372       28.8866       50.2591       28.8866       50.2591       0.00000       0.00000       79.1457       28.8866       28.5596       21.6995       0.00000       0.00000       0.00000    
  0.173775E-02  -152.464       27.2556       47.3505       27.2556       47.3505       0.00000       0.00000       74.6061       27.2556       26.9158       20.4347       0.00000       0.00000       0.00000    
  0.190540E-02  -142.303       25.7234       44.6173       25.7234       44.6173       0.00000       0.00000       70.3408       25.7234       25.3702       19.2471       0.00000       0.00000       0.00000    
  0.208923E-02  -132.584       24.2500       41.9887       24.2500       41.9887       0.00000       0.00000       66.2387       24.2500       23.8831       18.1055       0.00000       0.00000       0.00000    
  0.229079E-02  -123.806       22.9020       39.5822       22.9020       39.5822       0.00000       0.00000       62.4842       22.9020       22.5205       17.0617       0.00000       0.00000       0.00000    
  0.251180E-02  -115.459       21.6118       37.2782       21.6118       37.2782       0.00000       0.00000       58.8900       21.6118       21.2153       16.0629       0.00000       0.00000       0.00000    
  0.275413E-02  -107.593       20.3862       35.0885       20.3862       35.0885       0.00000       0.00000       55.4746       20.3862       19.9742       15.1142       0.00000       0.00000       0.00000    
  0.301984E-02  -100.451       19.2580       33.0709       19.2580       33.0709       0.00000       0.00000       52.3289       19.2580       18.8297       14.2412       0.00000       0.00000       0.00000    
  0.331118E-02  -93.6187       18.1719       31.1274       18.1719       31.1274       0.00000       0.00000       49.2993       18.1719       17.7267       13.4007       0.00000       0.00000       0.00000    
  0.363064E-02  -87.3253       17.1587       29.3125       17.1587       29.3125       0.00000       0.00000       46.4712       17.1587       16.6959       12.6165       0.00000       0.00000       0.00000    
  0.398091E-02  -81.4931       16.2083       27.6077       16.2083       27.6077       0.00000       0.00000       43.8160       16.2083       15.7271       11.8807       0.00000       0.00000       0.00000    
  0.436498E-02  -75.9280       15.2941       25.9669       15.2941       25.9669       0.00000       0.00000       41.2610       15.2941       14.7941       11.1728       0.00000       0.00000       0.00000    
  0.478610E-02  -70.9235       14.4565       24.4600       14.4565       24.4600       0.00000       0.00000       38.9165       14.4565       13.9365       10.5235       0.00000       0.00000       0.00000    
  0.524785E-02  -66.1901       13.6559       23.0179       13.6559       23.0179       0.00000       0.00000       36.6737       13.6559       13.1153       9.90257       0.00000       0.00000       0.00000    
  0.575415E-02  -61.7411       12.8941       21.6437       12.8941       21.6437       0.00000       0.00000       34.5378       12.8941       12.3324       9.31133       0.00000       0.00000       0.00000    
  0.630929E-02  -57.7412       12.1939       20.3766       12.1939       20.3766       0.00000       0.00000       32.5705       12.1939       11.6097       8.76687       0.00000       0.00000       0.00000    
  0.691799E-02  -53.9308       11.5196       19.1546       11.5196       19.1546       0.00000       0.00000       30.6742       11.5196       10.9125       8.24208       0.00000       0.00000       0.00000    
  0.758542E-02  -50.4434       10.8895       18.0093       10.8895       18.0093       0.00000       0.00000       28.8988       10.8895       10.2585       7.75078       0.00000       0.00000       0.00000    
  0.831724E-02  -47.2457       10.2991       16.9327       10.2991       16.9327       0.00000       0.00000       27.2318       10.2991       9.64331       7.28939       0.00000       0.00000       0.00000    
  0.911966E-02  -44.1288       9.73335       15.8992       9.73335       15.8992       0.00000       0.00000       25.6326       9.73335       9.05220       6.84700       0.00000       0.00000       0.00000    
  0.999950E-02  -40.6089       9.23457       14.9853       9.23457       14.9853       0.00000       0.00000       24.2199       9.23457       8.52670       6.45861       0.00000       0.00000       0.00000    
  0.109642E-01  -37.6469       8.74328       14.0822       8.74328       14.0822       0.00000       0.00000       22.8255       8.74328       8.00825       6.07399       0.00000       0.00000       0.00000    
  0.120220E-01  -35.3530       8.27513       13.2169       8.27513       13.2169       0.00000       0.00000       21.4920       8.27513       7.51205       5.70481       0.00000       0.00000       0.00000    
  0.131819E-01  -33.2699       7.83504       12.3996       7.83504       12.3996       0.00000       0.00000       20.2346       7.83504       7.04308       5.35652       0.00000       0.00000       0.00000    
  0.144536E-01  -31.3828       7.42095       11.6269       7.42095       11.6269       0.00000       0.00000       19.0478       7.42095       6.59933       5.02753       0.00000       0.00000       0.00000    
  0.158481E-01  -29.6673       7.02952       10.8929       7.02952       10.8929       0.00000       0.00000       17.9224       7.02952       6.17756       4.71533       0.00000       0.00000       0.00000    
  0.173770E-01  -28.1142       6.65945       10.1955       6.65945       10.1955       0.00000       0.00000       16.8549       6.65945       5.77656       4.41893       0.00000       0.00000       0.00000    
  0.190535E-01  -26.7288       6.31134       9.53572       6.31134       9.53572       0.00000       0.00000       15.8471       6.31134       5.39695       4.13877       0.00000       0.00000       0.00000    
  0.208917E-01  -25.4972       5.98328       8.91042       5.98328       8.91042       0.00000       0.00000       14.8937       5.98328       5.03696       3.87346       0.00000       0.00000       0.00000    
  0.229073E-01  -24.4009       5.67277       8.31541       5.67277       8.31541       0.00000       0.00000       13.9882       5.67277       4.69425       3.62116       0.00000       0.00000       0.00000    
  0.251174E-01  -23.4322       5.37877       7.74905       5.37877       7.74905       0.00000       0.00000       13.1278       5.37877       4.36791       3.38115       0.00000       0.00000       0.00000    
  0.275406E-01  -22.5956       5.10176       7.21250       5.10176       7.21250       0.00000       0.00000       12.3143       5.10176       4.05863       3.15387       0.00000       0.00000       0.00000    
  0.301976E-01  -21.8783       4.84005       6.70312       4.84005       6.70312       0.00000       0.00000       11.5432       4.84005       3.76495       2.93817       0.00000       0.00000       0.00000    
  0.331110E-01  -21.2658       4.59174       6.21794       4.59174       6.21794       0.00000       0.00000       10.8097       4.59174       3.48520       2.73274       0.00000       0.00000       0.00000    
  0.363055E-01  -20.7516       4.35600       5.75588       4.35600       5.75588       0.00000       0.00000       10.1119       4.35600       3.21880       2.53708       0.00000       0.00000       0.00000    
  0.398081E-01  -20.3388       4.13320       5.31830       4.13320       5.31830       0.00000       0.00000       9.45150       4.13320       2.96658       2.35172       0.00000       0.00000       0.00000    
  0.436487E-01  -20.0156       3.92185       4.90307       3.92185       4.90307       0.00000       0.00000       8.82493       3.92185       2.72736       2.17572       0.00000       0.00000       0.00000    
  0.478598E-01  -19.7706       3.72055       4.50822       3.72055       4.50822       0.00000       0.00000       8.22876       3.72055       2.50003       2.00819       0.00000       0.00000       0.00000    
  0.524772E-01  -19.5981       3.52859       4.13311       3.52859       4.13311       0.00000       0.00000       7.66170       3.52859       2.28427       1.84884       0.00000       0.00000       0.00000    
  0.575400E-01  -19.4994       3.34626       3.77941       3.34626       3.77941       0.00000       0.00000       7.12568       3.34626       2.08111       1.69830       0.00000       0.00000       0.00000    
  0.630913E-01  -19.4637       3.17227       3.44540       3.17227       3.44540       0.00000       0.00000       6.61768       3.17227       1.88960       1.55581       0.00000       0.00000       0.00000    
  0.691782E-01  -19.4822       3.00560       3.12973       3.00560       3.12973       0.00000       0.00000       6.13533       3.00560       1.70896       1.42076       0.00000       0.00000       0.00000    
  0.758523E-01  -19.5496       2.84569       2.83208       2.84569       2.83208       0.00000       0.00000       5.67777       2.84569       1.53907       1.29300       0.00000       0.00000       0.00000    
  0.831703E-01  -19.6654       2.69273       2.55429       2.69273       2.55429       0.00000       0.00000       5.24701       2.69273       1.38107       1.17322       0.00000       0.00000       0.00000    
  0.911943E-01  -19.8205       2.54567       2.29465       2.54567       2.29465       0.00000       0.00000       4.84032       2.54567       1.23397       1.06068       0.00000       0.00000       0.00000    
  0.999925E-01  -20.3979       2.44781       2.14070       2.44781       2.14070       0.00000       0.00000       4.58851       2.44781       1.14158      0.999120       0.00000       0.00000       0.00000    
  0.109639      -20.8774       2.33060       1.95465       2.33060       1.95465       0.00000       0.00000       4.28525       2.33060       1.03479      0.919865       0.00000       0.00000       0.00000    
  0.120217      -21.2378       2.19812       1.74588       2.19812       1.74588       0.00000       0.00000       3.94400       2.19812      0.918472      0.827404       0.00000       0.00000       0.00000    
  0.131815      -21.6196       2.06947       1.55214       2.06947       1.55214       0.00000       0.00000       3.62161       2.06947      0.811358      0.740782       0.00000       0.00000       0.00000    
  0.144533      -22.0197       1.94448       1.37319       1.94448       1.37319       0.00000       0.00000       3.31768       1.94448      0.713316      0.659876       0.00000       0.00000       0.00000    
  0.158477      -22.4337       1.82276       1.20734       1.82276       1.20734       0.00000       0.00000       3.03010       1.82276      0.623325      0.584014       0.00000       0.00000       0.00000    
  0.173766      -22.8596       1.70427       1.05397       1.70427       1.05397       0.00000       0.00000       2.75824       1.70427      0.541021      0.512950       0.00000       0.00000       0.00000    
  0.190530      -23.2953       1.58874      0.911214       1.58874      0.911214       0.00000       0.00000       2.49995       1.58874      0.465255      0.445960       0.00000       0.00000       0.00000    
  0.208912      -23.7410       1.47628      0.778200       1.47628      0.778200       0.00000       0.00000       2.25448       1.47628      0.395482      0.382718       0.00000       0.00000       0.00000    
  0.229067      -24.1976       1.36678      0.653111       1.36678      0.653111       0.00000       0.00000       2.01989       1.36678      0.330566      0.322545       0.00000       0.00000       0.00000    
  0.251167      -24.6694       1.26049      0.535052       1.26049      0.535052       0.00000       0.00000       1.79554       1.26049      0.269923      0.265128       0.00000       0.00000       0.00000    
  0.275399      -25.1619       1.15738      0.422521       1.15738      0.422521       0.00000       0.00000       1.57990       1.15738      0.212595      0.209925       0.00000       0.00000       0.00000    
  0.301969      -25.6872       1.05778      0.314774       1.05778      0.314774       0.00000       0.00000       1.37255       1.05778      0.158082      0.156692       0.00000       0.00000       0.00000    
  0.331102      -26.2587      0.961557      0.210587      0.961557      0.210587       0.00000       0.00000       1.17214      0.961557      0.105621      0.104966       0.00000       0.00000       0.00000    
  0.363046      -26.9047      0.868786      0.108959      0.868786      0.108959       0.00000       0.00000      0.977745      0.868786      0.546203E-01  0.543388E-01   0.00000       0.00000       0.00000    
  0.398071      -27.6568      0.778731      0.798610E-02  0.778731      0.798610E-02   0.00000       0.00000      0.786717      0.778731      0.404501E-02  0.394109E-02   0.00000       0.00000       0.00000    
  0.436476      -30.3710      0.720972      -.330934E-01  0.720972      -.330934E-01   0.00000       0.00000      0.687879      0.720972      -.165298E-01  -.165635E-01   0.00000       0.00000       0.00000    
  0.478586      -31.5711      0.632614      -.142110      0.632614      -.142110       0.00000       0.00000      0.490504      0.632614      -.710508E-01  -.710596E-01   0.00000       0.00000       0.00000    
  0.524759      -33.1661      0.539732      -.266945      0.539732      -.266945       0.00000       0.00000      0.272787      0.539732      -.133472      -.133473       0.00000       0.00000       0.00000    
  0.575386      -35.4598      0.433088      -.427309      0.433088      -.427309       0.00000       0.00000      0.577838E-02  0.433088      -.213654      -.213655       0.00000       0.00000       0.00000    
  0.630897      -39.1199      0.294824      -.661267      0.294824      -.661267       0.00000       0.00000      -.366443      0.294824      -.330633      -.330633       0.00000       0.00000       0.00000    
  0.691764      -45.8688      0.893681E-01  -1.04485      0.893681E-01  -1.04485       0.00000       0.00000      -.955482      0.893681E-01  -.522425      -.522425       0.00000       0.00000       0.00000    
  0.758504      -58.7606      -.179379      -1.57793      -.179379      -1.57793       0.00000       0.00000      -1.75731      -.179379      -.788966      -.788966       0.00000       0.00000       0.00000    
  0.831682      -99.9765      -.839679      -2.95465      -.839679      -2.95465       0.00000       0.00000      -3.79433      -.839679      -1.47733      -1.47733       0.00000       0.00000       0.00000    
  0.911920      -378.234      -2.62385      -6.78531      -2.62385      -6.78531       0.00000       0.00000      -9.40917      -2.62385      -3.39266      -3.39266       0.00000       0.00000       0.00000    
  0.999900       2395.04      -.252990      -.645711      -.252990      -.645711       0.00000       0.00000      -.898701      -.252990      -.322855      -.322855       0.00000       0.00000       0.00000    
