   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -.815753E+18  0.335123E+16  0.670245E+16  0.335123E+16  0.670245E+16   0.00000       0.00000      0.100537E+17  0.335123E+16  0.335123E+16  0.335123E+16   0.00000       0.00000       0.00000    
  0.109648E-03  -.471983E+18  0.193993E+16  0.387985E+16  0.193993E+16  0.387985E+16   0.00000       0.00000      0.581978E+16  0.193993E+16  0.193993E+16  0.193993E+16   0.00000       0.00000       0.00000    
  0.120226E-03  -.312595E+18  0.128519E+16  0.257038E+16  0.128519E+16  0.257038E+16   0.00000       0.00000      0.385557E+16  0.128519E+16  0.128519E+16  0.128519E+16   0.00000       0.00000       0.00000    
  0.131825E-03  -.188474E+18  0.775244E+15  0.155049E+16  0.775244E+15  0.155049E+16   0.00000       0.00000      0.232573E+16  0.775244E+15  0.775244E+15  0.775244E+15   0.00000       0.00000       0.00000    
  0.144543E-03  -.114850E+18  0.472619E+15  0.945238E+15  0.472619E+15  0.945238E+15   0.00000       0.00000      0.141786E+16  0.472619E+15  0.472619E+15  0.472619E+15   0.00000       0.00000       0.00000    
  0.158489E-03  -.734659E+17  0.302437E+15  0.604874E+15  0.302437E+15  0.604874E+15   0.00000       0.00000      0.907311E+15  0.302437E+15  0.302437E+15  0.302437E+15   0.00000       0.00000       0.00000    
  0.173779E-03  -.434102E+17  0.178804E+15  0.357607E+15  0.178804E+15  0.357607E+15   0.00000       0.00000      0.536411E+15  0.178804E+15  0.178804E+15  0.178804E+15   0.00000       0.00000       0.00000    
  0.190545E-03  -.276688E+17  0.114011E+15  0.228023E+15  0.114011E+15  0.228023E+15   0.00000       0.00000      0.342034E+15  0.114011E+15  0.114011E+15  0.114011E+15   0.00000       0.00000       0.00000    
  0.208928E-03  -.171729E+17  0.707965E+14  0.141593E+15  0.707965E+14  0.141593E+15   0.00000       0.00000      0.212389E+15  0.707965E+14  0.707965E+14  0.707965E+14   0.00000       0.00000       0.00000    
  0.229085E-03  -.997808E+16  0.411605E+14  0.823210E+14  0.411605E+14  0.823210E+14   0.00000       0.00000      0.123482E+15  0.411605E+14  0.411605E+14  0.411605E+14   0.00000       0.00000       0.00000    
  0.251186E-03  -.660233E+16  0.272452E+14  0.544903E+14  0.272452E+14  0.544903E+14   0.00000       0.00000      0.817355E+14  0.272452E+14  0.272452E+14  0.272452E+14   0.00000       0.00000       0.00000    
  0.275420E-03  -.399897E+16  0.165115E+14  0.330231E+14  0.165115E+14  0.330231E+14   0.00000       0.00000      0.495346E+14  0.165115E+14  0.165115E+14  0.165115E+14   0.00000       0.00000       0.00000    
  0.301992E-03  -.243382E+16  0.100546E+14  0.201093E+14  0.100546E+14  0.201093E+14   0.00000       0.00000      0.301639E+14  0.100546E+14  0.100546E+14  0.100546E+14   0.00000       0.00000       0.00000    
  0.331127E-03  -.156464E+16  0.646688E+13  0.129338E+14  0.646688E+13  0.129338E+14   0.00000       0.00000      0.194006E+14  0.646688E+13  0.646688E+13  0.646688E+13   0.00000       0.00000       0.00000    
  0.363073E-03  -.928877E+15  0.384167E+13  0.768334E+13  0.384167E+13  0.768334E+13   0.00000       0.00000      0.115250E+14  0.384167E+13  0.384167E+13  0.384167E+13   0.00000       0.00000       0.00000    
  0.398101E-03  -.591551E+15  0.244773E+13  0.489547E+13  0.244773E+13  0.489547E+13   0.00000       0.00000      0.734320E+13  0.244773E+13  0.244773E+13  0.244773E+13   0.00000       0.00000       0.00000    
  0.436509E-03  -.368998E+15  0.152772E+13  0.305543E+13  0.152772E+13  0.305543E+13   0.00000       0.00000      0.458315E+13  0.152772E+13  0.152772E+13  0.152772E+13   0.00000       0.00000       0.00000    
  0.478622E-03  -.215446E+15  0.892623E+12  0.178525E+13  0.892623E+12  0.178525E+13   0.00000       0.00000      0.267787E+13  0.892623E+12  0.892623E+12  0.892623E+12   0.00000       0.00000       0.00000    
  0.524798E-03  -.142478E+15  0.590560E+12  0.118112E+13  0.590560E+12  0.118112E+13   0.00000       0.00000      0.177168E+13  0.590560E+12  0.590560E+12  0.590560E+12   0.00000       0.00000       0.00000    
