   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -211.322       2.91473       5.82163       2.91473       5.82163       0.00000       0.00000       8.73636       2.91473       2.91473       2.90690       0.00000       0.00000       0.00000    
  0.109648E-03  -200.564       2.76549       5.52307       2.76549       5.52307       0.00000       0.00000       8.28856       2.76549       2.76549       2.75759       0.00000       0.00000       0.00000    
  0.120226E-03  -190.718       2.62860       5.24922       2.62860       5.24922       0.00000       0.00000       7.87782       2.62860       2.62860       2.62062       0.00000       0.00000       0.00000    
  0.131825E-03  -181.218       2.49639       4.98473       2.49639       4.98473       0.00000       0.00000       7.48112       2.49639       2.49639       2.48834       0.00000       0.00000       0.00000    
  0.144543E-03  -172.214       2.37089       4.73365       2.37089       4.73365       0.00000       0.00000       7.10453       2.37089       2.37089       2.36276       0.00000       0.00000       0.00000    
  0.158489E-03  -163.838       2.25386       4.49951       2.25386       4.49951       0.00000       0.00000       6.75337       2.25386       2.25386       2.24566       0.00000       0.00000       0.00000    
  0.173779E-03  -155.758       2.14083       4.27338       2.14083       4.27338       0.00000       0.00000       6.41421       2.14083       2.14083       2.13255       0.00000       0.00000       0.00000    
  0.190545E-03  -148.230       2.03524       4.06213       2.03524       4.06213       0.00000       0.00000       6.09738       2.03524       2.03524       2.02689       0.00000       0.00000       0.00000    
  0.208928E-03  -141.101       1.93505       3.86167       1.93505       3.86167       0.00000       0.00000       5.79672       1.93505       1.93505       1.92662       0.00000       0.00000       0.00000    
  0.229085E-03  -134.232       1.83834       3.66817       1.83834       3.66817       0.00000       0.00000       5.50651       1.83834       1.83834       1.82983       0.00000       0.00000       0.00000    
  0.251186E-03  -127.938       1.74938       3.49017       1.74938       3.49017       0.00000       0.00000       5.23954       1.74938       1.74938       1.74079       0.00000       0.00000       0.00000    
  0.275420E-03  -121.875       1.66350       3.31834       1.66350       3.31834       0.00000       0.00000       4.98184       1.66350       1.66350       1.65484       0.00000       0.00000       0.00000    
  0.301992E-03  -116.120       1.58178       3.15482       1.58178       3.15482       0.00000       0.00000       4.73660       1.58178       1.58178       1.57304       0.00000       0.00000       0.00000    
  0.331127E-03  -110.774       1.50554       3.00225       1.50554       3.00225       0.00000       0.00000       4.50779       1.50554       1.50554       1.49671       0.00000       0.00000       0.00000    
  0.363073E-03  -105.617       1.43183       2.85474       1.43183       2.85474       0.00000       0.00000       4.28657       1.43183       1.43183       1.42292       0.00000       0.00000       0.00000    
  0.398101E-03  -100.805       1.36273       2.71647       1.36273       2.71647       0.00000       0.00000       4.07921       1.36273       1.36273       1.35374       0.00000       0.00000       0.00000    
  0.436509E-03  -96.2547       1.29713       2.58518       1.29713       2.58518       0.00000       0.00000       3.88231       1.29713       1.29713       1.28805       0.00000       0.00000       0.00000    
  0.478622E-03  -91.8682       1.23371       2.45827       1.23371       2.45827       0.00000       0.00000       3.69198       1.23371       1.23371       1.22456       0.00000       0.00000       0.00000    
  0.524798E-03  -87.8419       1.17510       2.34096       1.17510       2.34096       0.00000       0.00000       3.51606       1.17510       1.17510       1.16586       0.00000       0.00000       0.00000    
  0.575429E-03  -83.9667       1.11849       2.22766       1.11849       2.22766       0.00000       0.00000       3.34615       1.11849       1.11849       1.10917       0.00000       0.00000       0.00000    
