   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -7308.81       541.632       972.488       541.632       972.488       0.00000       0.00000       1514.12       541.632       541.246       431.242       0.00000       0.00000       0.00000    
  0.109648E-03  -6687.01       495.843       890.177       495.843       890.177       0.00000       0.00000       1386.02       495.843       495.454       394.722       0.00000       0.00000       0.00000    
  0.120226E-03  -6145.16       455.900       818.379       455.900       818.379       0.00000       0.00000       1274.28       455.900       455.509       362.870       0.00000       0.00000       0.00000    
  0.131825E-03  -5632.16       418.069       750.379       418.069       750.379       0.00000       0.00000       1168.45       418.069       417.675       332.703       0.00000       0.00000       0.00000    
  0.144543E-03  -5160.47       383.262       687.816       383.262       687.816       0.00000       0.00000       1071.08       383.262       382.866       304.951       0.00000       0.00000       0.00000    
  0.158489E-03  -4738.52       352.099       631.806       352.099       631.806       0.00000       0.00000       983.905       352.099       351.700       280.106       0.00000       0.00000       0.00000    
  0.173779E-03  -4339.48       322.614       578.815       322.614       578.815       0.00000       0.00000       901.429       322.614       322.213       256.602       0.00000       0.00000       0.00000    
  0.190545E-03  -3982.05       296.182       531.311       296.182       531.311       0.00000       0.00000       827.493       296.182       295.778       235.532       0.00000       0.00000       0.00000    
  0.208928E-03  -3653.34       271.858       487.597       271.858       487.597       0.00000       0.00000       759.455       271.858       271.451       216.145       0.00000       0.00000       0.00000    
  0.229085E-03  -3343.15       248.893       446.327       248.893       446.327       0.00000       0.00000       695.220       248.893       248.484       197.843       0.00000       0.00000       0.00000    
  0.251186E-03  -3072.30       228.820       410.254       228.820       410.254       0.00000       0.00000       639.074       228.820       228.408       181.846       0.00000       0.00000       0.00000    
  0.275420E-03  -2816.42       209.847       376.160       209.847       376.160       0.00000       0.00000       586.007       209.847       209.432       166.728       0.00000       0.00000       0.00000    
  0.301992E-03  -2580.66       192.353       344.726       192.353       344.726       0.00000       0.00000       537.079       192.353       191.936       152.789       0.00000       0.00000       0.00000    
  0.331127E-03  -2370.22       176.725       316.644       176.725       316.644       0.00000       0.00000       493.369       176.725       176.305       140.338       0.00000       0.00000       0.00000    
  0.363073E-03  -2171.18       161.936       290.070       161.936       290.070       0.00000       0.00000       452.005       161.936       161.513       128.556       0.00000       0.00000       0.00000    
  0.398101E-03  -1992.53       148.649       266.197       148.649       266.197       0.00000       0.00000       414.846       148.649       148.225       117.972       0.00000       0.00000       0.00000    
  0.436509E-03  -1828.58       136.448       244.274       136.448       244.274       0.00000       0.00000       380.723       136.448       136.021       108.254       0.00000       0.00000       0.00000    
  0.478622E-03  -1673.85       124.927       223.573       124.927       223.573       0.00000       0.00000       348.500       124.927       124.497       99.0766       0.00000       0.00000       0.00000    
  0.524798E-03  -1538.46       114.835       205.441       114.835       205.441       0.00000       0.00000       320.276       114.835       114.402       91.0389       0.00000       0.00000       0.00000    
  0.575429E-03  -1410.83       105.316       188.338       105.316       188.338       0.00000       0.00000       293.654       105.316       104.880       83.4577       0.00000       0.00000       0.00000    
  0.630945E-03  -1292.97       96.5201       172.534       96.5201       172.534       0.00000       0.00000       269.055       96.5201       96.0816       76.4529       0.00000       0.00000       0.00000    
