   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -38190.5       818.878       1637.67       818.878       1637.67       0.00000       0.00000       2456.55       818.878       818.878       818.789       0.00000       0.00000       0.00000    
  0.109648E-03  -34877.0       747.122       1494.15       747.122       1494.15       0.00000       0.00000       2241.28       747.122       747.121       747.032       0.00000       0.00000       0.00000    
  0.120226E-03  -31998.9       684.775       1369.46       684.775       1369.46       0.00000       0.00000       2054.24       684.775       684.775       684.685       0.00000       0.00000       0.00000    
  0.131825E-03  -29277.3       625.813       1251.53       625.813       1251.53       0.00000       0.00000       1877.35       625.813       625.813       625.722       0.00000       0.00000       0.00000    
  0.144543E-03  -26779.8       571.697       1143.30       571.697       1143.30       0.00000       0.00000       1715.00       571.697       571.696       571.605       0.00000       0.00000       0.00000    
  0.158489E-03  -24551.1       523.393       1046.69       523.393       1046.69       0.00000       0.00000       1570.09       523.393       523.393       523.301       0.00000       0.00000       0.00000    
  0.173779E-03  -22445.9       477.762       955.429       477.762       955.429       0.00000       0.00000       1433.19       477.762       477.761       477.668       0.00000       0.00000       0.00000    
  0.190545E-03  -20564.8       436.977       873.859       436.977       873.859       0.00000       0.00000       1310.84       436.977       436.976       436.883       0.00000       0.00000       0.00000    
  0.208928E-03  -18837.6       399.526       798.956       399.526       798.956       0.00000       0.00000       1198.48       399.526       399.525       399.431       0.00000       0.00000       0.00000    
  0.229085E-03  -17209.8       364.223       728.350       364.223       728.350       0.00000       0.00000       1092.57       364.223       364.222       364.128       0.00000       0.00000       0.00000    
  0.251186E-03  -15792.0       333.472       666.847       333.472       666.847       0.00000       0.00000       1000.32       333.472       333.471       333.376       0.00000       0.00000       0.00000    
  0.275420E-03  -14453.9       304.447       608.794       304.447       608.794       0.00000       0.00000       913.241       304.447       304.445       304.349       0.00000       0.00000       0.00000    
  0.301992E-03  -13222.8       277.740       555.380       277.740       555.380       0.00000       0.00000       833.120       277.740       277.738       277.642       0.00000       0.00000       0.00000    
  0.331127E-03  -12125.9       253.945       507.789       253.945       507.789       0.00000       0.00000       761.734       253.945       253.943       253.846       0.00000       0.00000       0.00000    
  0.363073E-03  -11089.1       231.457       462.811       231.457       462.811       0.00000       0.00000       694.267       231.457       231.454       231.357       0.00000       0.00000       0.00000    
  0.398101E-03  -10160.0       211.305       422.506       211.305       422.506       0.00000       0.00000       633.812       211.305       211.302       211.204       0.00000       0.00000       0.00000    
  0.436509E-03  -9308.19       192.835       385.564       192.835       385.564       0.00000       0.00000       578.399       192.835       192.831       192.733       0.00000       0.00000       0.00000    
  0.478622E-03  -8504.74       175.416       350.726       175.416       350.726       0.00000       0.00000       526.142       175.416       175.413       175.313       0.00000       0.00000       0.00000    
  0.524798E-03  -7802.58       160.204       320.300       160.204       320.300       0.00000       0.00000       480.505       160.204       160.200       160.100       0.00000       0.00000       0.00000    
  0.575429E-03  -7140.79       145.874       291.637       145.874       291.637       0.00000       0.00000       437.510       145.874       145.868       145.768       0.00000       0.00000       0.00000    
  0.630945E-03  -6529.98       132.655       265.198       132.655       265.198       0.00000       0.00000       397.853       132.655       132.649       132.548       0.00000       0.00000       0.00000    
  0.691816E-03  -5986.08       120.901       241.687       120.901       241.687       0.00000       0.00000       362.587       120.901       120.894       120.793       0.00000       0.00000       0.00000    
  0.758561E-03  -5471.48       109.788       219.459       109.788       219.459       0.00000       0.00000       329.247       109.788       109.781       109.679       0.00000       0.00000       0.00000    
  0.831745E-03  -5008.48       99.8076       199.496       99.8076       199.496       0.00000       0.00000       299.303       99.8076       99.7991       99.6968       0.00000       0.00000       0.00000    
  0.911989E-03  -4584.24       90.6799       181.238       90.6799       181.238       0.00000       0.00000       271.918       90.6799       90.6702       90.5676       0.00000       0.00000       0.00000    
  0.999975E-03  -4183.55       82.0709       164.017       82.0709       164.017       0.00000       0.00000       246.088       82.0709       82.0599       81.9569       0.00000       0.00000       0.00000    
  0.109645E-02  -3831.65       74.5397       148.951       74.5397       148.951       0.00000       0.00000       223.491       74.5397       74.5272       74.4239       0.00000       0.00000       0.00000    
  0.120223E-02  -3500.22       67.4625       134.793       67.4625       134.793       0.00000       0.00000       202.256       67.4625       67.4483       67.3449       0.00000       0.00000       0.00000    
  0.131822E-02  -3193.08       60.9240       121.712       60.9240       121.712       0.00000       0.00000       182.636       60.9240       60.9080       60.8043       0.00000       0.00000       0.00000    
  0.144540E-02  -2919.34       55.1302       110.120       55.1302       110.120       0.00000       0.00000       165.250       55.1302       55.1120       55.0083       0.00000       0.00000       0.00000    
  0.158485E-02  -2659.91       49.6562       99.1677       49.6562       99.1677       0.00000       0.00000       148.824       49.6562       49.6357       49.5320       0.00000       0.00000       0.00000    
  0.173775E-02  -2425.32       44.7385       89.3272       44.7385       89.3272       0.00000       0.00000       134.066       44.7385       44.7154       44.6118       0.00000       0.00000       0.00000    
  0.190540E-02  -2210.26       40.2608       80.3660       40.2608       80.3660       0.00000       0.00000       120.627       40.2608       40.2348       40.1313       0.00000       0.00000       0.00000    
  0.208923E-02  -2006.74       36.0435       71.9252       36.0435       71.9252       0.00000       0.00000       107.969       36.0435       36.0142       35.9110       0.00000       0.00000       0.00000    
  0.229079E-02  -1826.96       32.3634       64.5581       32.3634       64.5581       0.00000       0.00000       96.9215       32.3634       32.3305       32.2277       0.00000       0.00000       0.00000    
  0.251180E-02  -1657.68       28.9227       57.6690       28.9227       57.6690       0.00000       0.00000       86.5917       28.9227       28.8857       28.7834       0.00000       0.00000       0.00000    
  0.275413E-02  -1500.14       25.7488       51.3131       25.7488       51.3131       0.00000       0.00000       77.0619       25.7488       25.7074       25.6057       0.00000       0.00000       0.00000    
  0.301984E-02  -1359.61       22.9639       45.7341       22.9639       45.7341       0.00000       0.00000       68.6980       22.9639       22.9174       22.8166       0.00000       0.00000       0.00000    
  0.331118E-02  -1226.24       20.3431       40.4826       20.3431       40.4826       0.00000       0.00000       60.8257       20.3431       20.2912       20.1914       0.00000       0.00000       0.00000    
  0.363064E-02  -1105.17       18.0039       35.7931       18.0039       35.7931       0.00000       0.00000       53.7969       18.0039       17.9459       17.8472       0.00000       0.00000       0.00000    
  0.398091E-02  -994.311       15.8989       31.5711       15.8989       31.5711       0.00000       0.00000       47.4700       15.8989       15.8342       15.7369       0.00000       0.00000       0.00000    
  0.436498E-02  -889.351       13.9290       27.6184       13.9290       27.6184       0.00000       0.00000       41.5474       13.9290       13.8571       13.7613       0.00000       0.00000       0.00000    
  0.478610E-02  -796.517       12.2360       24.2180       12.2360       24.2180       0.00000       0.00000       36.4540       12.2360       12.1560       12.0620       0.00000       0.00000       0.00000    
  0.524785E-02  -709.434       10.6732       21.0770       10.6732       21.0770       0.00000       0.00000       31.7503       10.6732       10.5845       10.4926       0.00000       0.00000       0.00000    
  0.575415E-02  -628.383       9.24701       18.2082       9.24701       18.2082       0.00000       0.00000       27.4552       9.24701       9.14892       9.05925       0.00000       0.00000       0.00000    
  0.630929E-02  -556.722       8.03024       15.7563       8.03024       15.7563       0.00000       0.00000       23.7865       8.03024       7.92168       7.83460       0.00000       0.00000       0.00000    
  0.691799E-02  -489.000       6.89986       13.4763       6.89986       13.4763       0.00000       0.00000       20.3762       6.89986       6.78030       6.69599       0.00000       0.00000       0.00000    
  0.758542E-02  -427.971       5.91535       11.4865       5.91535       11.4865       0.00000       0.00000       17.4018       5.91535       5.78387       5.70262       0.00000       0.00000       0.00000    
  0.831724E-02  -372.933       5.05718       9.74783       5.05718       9.74783       0.00000       0.00000       14.8050       5.05718       4.91286       4.83497       0.00000       0.00000       0.00000    
  0.911966E-02  -321.399       4.27042       8.15109       4.27042       8.15109       0.00000       0.00000       12.4215       4.27042       4.11272       4.03837       0.00000       0.00000       0.00000    
  0.999950E-02  -277.970       3.63203       6.84913       3.63203       6.84913       0.00000       0.00000       10.4812       3.63203       3.45979       3.38935       0.00000       0.00000       0.00000    
  0.109642E-01  -236.612       3.04236       5.64392       3.04236       5.64392       0.00000       0.00000       8.68629       3.04236       2.85516       2.78877       0.00000       0.00000       0.00000    
  0.120220E-01  -199.701       2.54529       4.62262       2.54529       4.62262       0.00000       0.00000       7.16791       2.54529       2.34236       2.28026       0.00000       0.00000       0.00000    
  0.131819E-01  -167.082       2.12553       3.75491       2.12553       3.75491       0.00000       0.00000       5.88044       2.12553       1.90626       1.84865       0.00000       0.00000       0.00000    
  0.144536E-01  -138.450       1.77419       3.02323       1.77419       3.02323       0.00000       0.00000       4.79742       1.77419       1.53811       1.48512       0.00000       0.00000       0.00000    
  0.158481E-01  -113.290       1.47950       2.40429       1.47950       2.40429       0.00000       0.00000       3.88379       1.47950       1.22627       1.17802       0.00000       0.00000       0.00000    
  0.173770E-01  -91.3891       1.23535       1.88614       1.23535       1.88614       0.00000       0.00000       3.12149       1.23535      0.964806      0.921338       0.00000       0.00000       0.00000    
  0.190535E-01  -72.8025       1.03965       1.46487       1.03965       1.46487       0.00000       0.00000       2.50452       1.03965      0.751784      0.713089       0.00000       0.00000       0.00000    
  0.208917E-01  -57.1863      0.884665       1.12535      0.884665       1.12535       0.00000       0.00000       2.01001      0.884665      0.579671      0.545674       0.00000       0.00000       0.00000    
  0.229073E-01  -44.0965      0.762124      0.851316      0.762124      0.851316       0.00000       0.00000       1.61344      0.762124      0.440375      0.410941       0.00000       0.00000       0.00000    
  0.251174E-01  -33.2968      0.667190      0.633401      0.667190      0.633401       0.00000       0.00000       1.30059      0.667190      0.329234      0.304167       0.00000       0.00000       0.00000    
  0.275406E-01  -24.7309      0.597316      0.466940      0.597316      0.466940       0.00000       0.00000       1.06426      0.597316      0.243960      0.222979       0.00000       0.00000       0.00000    
  0.301976E-01  -18.0322      0.546846      0.340872      0.546846      0.340872       0.00000       0.00000      0.887718      0.546846      0.179050      0.161821       0.00000       0.00000       0.00000    
  0.331110E-01  -12.8307      0.510813      0.245382      0.510813      0.245382       0.00000       0.00000      0.756195      0.510813      0.129608      0.115774       0.00000       0.00000       0.00000    
  0.363055E-01  -8.89386      0.486127      0.174442      0.486127      0.174442       0.00000       0.00000      0.660569      0.486127      0.926340E-01  0.818082E-01   0.00000       0.00000       0.00000    
  0.398081E-01  -6.09094      0.470836      0.124439      0.470836      0.124439       0.00000       0.00000      0.595275      0.470836      0.663535E-01  0.580859E-01   0.00000       0.00000       0.00000    
  0.436487E-01  -4.13126      0.461973      0.893433E-01  0.461973      0.893433E-01   0.00000       0.00000      0.551316      0.461973      0.477417E-01  0.416017E-01   0.00000       0.00000       0.00000    
  0.478598E-01  -2.77980      0.457394      0.646726E-01  0.457394      0.646726E-01   0.00000       0.00000      0.522066      0.457394      0.345383E-01  0.301343E-01   0.00000       0.00000       0.00000    
  0.524772E-01  -1.88414      0.455799      0.476847E-01  0.455799      0.476847E-01   0.00000       0.00000      0.503484      0.455799      0.253585E-01  0.223262E-01   0.00000       0.00000       0.00000    
  0.575400E-01  -1.34283      0.456356      0.366626E-01  0.456356      0.366626E-01   0.00000       0.00000      0.493019      0.456356      0.193411E-01  0.173215E-01   0.00000       0.00000       0.00000    
  0.630913E-01  -1.02097      0.458155      0.294151E-01  0.458155      0.294151E-01   0.00000       0.00000      0.487570      0.458155      0.153532E-01  0.140620E-01   0.00000       0.00000       0.00000    
  0.691782E-01  -.832278      0.460675      0.245655E-01  0.460675      0.245655E-01   0.00000       0.00000      0.485240      0.460675      0.126734E-01  0.118921E-01   0.00000       0.00000       0.00000    
  0.758523E-01  -.726058      0.463638      0.213088E-01  0.463638      0.213088E-01   0.00000       0.00000      0.484947      0.463638      0.108754E-01  0.104335E-01   0.00000       0.00000       0.00000    
  0.831703E-01  -.670715      0.466897      0.191503E-01  0.466897      0.191503E-01   0.00000       0.00000      0.486048      0.466897      0.969493E-02  0.945539E-02   0.00000       0.00000       0.00000    
  0.911943E-01  -.638892      0.470333      0.175864E-01  0.470333      0.175864E-01   0.00000       0.00000      0.487919      0.470333      0.885432E-02  0.873204E-02   0.00000       0.00000       0.00000    
