   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -324.413       181.156       299.823       181.156       299.823       0.00000       0.00000       480.979       181.156       178.957       120.866       0.00000       0.00000       0.00000    
  0.109648E-03  -294.811       165.065       272.857       165.065       272.857       0.00000       0.00000       437.922       165.065       162.863       109.995       0.00000       0.00000       0.00000    
  0.120226E-03  -269.205       151.126       249.500       151.126       249.500       0.00000       0.00000       400.626       151.126       148.922       100.578       0.00000       0.00000       0.00000    
  0.131825E-03  -245.030       137.960       227.436       137.960       227.436       0.00000       0.00000       365.396       137.960       135.753       91.6832       0.00000       0.00000       0.00000    
  0.144543E-03  -222.907       125.900       207.226       125.900       207.226       0.00000       0.00000       333.125       125.900       123.690       83.5356       0.00000       0.00000       0.00000    
  0.158489E-03  -203.236       115.163       189.233       115.163       189.233       0.00000       0.00000       304.395       115.163       112.951       76.2821       0.00000       0.00000       0.00000    
  0.173779E-03  -184.691       105.033       172.258       105.033       172.258       0.00000       0.00000       277.291       105.033       102.819       69.4391       0.00000       0.00000       0.00000    
  0.190545E-03  -168.186       96.0040       157.127       96.0040       157.127       0.00000       0.00000       253.131       96.0040       93.7876       63.3397       0.00000       0.00000       0.00000    
  0.208928E-03  -153.078       87.7299       143.262       87.7299       143.262       0.00000       0.00000       230.992       87.7299       85.5115       57.7504       0.00000       0.00000       0.00000    
  0.229085E-03  -138.872       79.9425       130.212       79.9425       130.212       0.00000       0.00000       210.155       79.9425       77.7222       52.4900       0.00000       0.00000       0.00000    
  0.251186E-03  -126.569       73.1831       118.886       73.1831       118.886       0.00000       0.00000       192.069       73.1831       70.9612       47.9243       0.00000       0.00000       0.00000    
  0.275420E-03  -114.987       66.8124       108.210       66.8124       108.210       0.00000       0.00000       175.023       66.8124       64.5891       43.6213       0.00000       0.00000       0.00000    
  0.301992E-03  -104.371       60.9641       98.4109       60.9641       98.4109       0.00000       0.00000       159.375       60.9641       58.7396       39.6713       0.00000       0.00000       0.00000    
  0.331127E-03  -94.9661       55.7699       89.7080       55.7699       89.7080       0.00000       0.00000       145.478       55.7699       53.5445       36.1635       0.00000       0.00000       0.00000    
  0.363073E-03  -86.1038       50.8687       81.4963       50.8687       81.4963       0.00000       0.00000       132.365       50.8687       48.6426       32.8537       0.00000       0.00000       0.00000    
  0.398101E-03  -78.2105       46.4910       74.1623       46.4910       74.1623       0.00000       0.00000       120.653       46.4910       44.2645       29.8978       0.00000       0.00000       0.00000    
  0.436509E-03  -71.0121       42.4885       67.4577       42.4885       67.4577       0.00000       0.00000       109.946       42.4885       40.2621       27.1956       0.00000       0.00000       0.00000    
  0.478622E-03  -64.2485       38.7208       61.1471       38.7208       61.1471       0.00000       0.00000       99.8679       38.7208       36.4948       24.6523       0.00000       0.00000       0.00000    
  0.524798E-03  -58.3941       35.4441       55.6600       35.4441       55.6600       0.00000       0.00000       91.1040       35.4441       33.2190       22.4410       0.00000       0.00000       0.00000    
  0.575429E-03  -52.9017       32.3626       50.5008       32.3626       50.5008       0.00000       0.00000       82.8634       32.3626       30.1389       20.3619       0.00000       0.00000       0.00000    
  0.630945E-03  -47.8663       29.5278       45.7556       29.5278       45.7556       0.00000       0.00000       75.2834       29.5278       27.3059       18.4497       0.00000       0.00000       0.00000    
  0.691816E-03  -43.4300       27.0162       41.5533       27.0162       41.5533       0.00000       0.00000       68.5694       27.0162       24.7969       16.7563       0.00000       0.00000       0.00000    
  0.758561E-03  -39.2560       24.6459       37.5885       24.6459       37.5885       0.00000       0.00000       62.2344       24.6459       22.4297       15.1588       0.00000       0.00000       0.00000    
  0.831745E-03  -35.5436       22.5244       34.0421       22.5244       34.0421       0.00000       0.00000       56.5664       22.5244       20.3122       13.7299       0.00000       0.00000       0.00000    
  0.911989E-03  -32.1774       20.5893       30.8095       20.5893       30.8095       0.00000       0.00000       51.3988       20.5893       18.3820       12.4275       0.00000       0.00000       0.00000    
  0.999975E-03  -29.0216       18.7676       27.7677       18.7676       27.7677       0.00000       0.00000       46.5352       18.7676       16.5657       11.2020       0.00000       0.00000       0.00000    
  0.109645E-02  -26.3014       17.1801       25.1209       17.1801       25.1209       0.00000       0.00000       42.3010       17.1801       14.9851       10.1358       0.00000       0.00000       0.00000    
  0.120223E-02  -23.7636       15.6907       22.6398       15.6907       22.6398       0.00000       0.00000       38.3305       15.6907       13.5035       9.13631       0.00000       0.00000       0.00000    
  0.131822E-02  -21.4422       14.3176       20.3552       14.3176       20.3552       0.00000       0.00000       34.6728       14.3176       12.1391       8.21609       0.00000       0.00000       0.00000    
  0.144540E-02  -19.4182       13.1041       18.3411       13.1041       18.3411       0.00000       0.00000       31.4452       13.1041       10.9362       7.40487       0.00000       0.00000       0.00000    
  0.158485E-02  -17.5213       11.9588       16.4427       11.9588       16.4427       0.00000       0.00000       28.4015       11.9588       9.80242       6.64033       0.00000       0.00000       0.00000    
  0.173775E-02  -15.8447       10.9316       14.7454       10.9316       14.7454       0.00000       0.00000       25.6770       10.9316       8.78860       5.95680       0.00000       0.00000       0.00000    
  0.190540E-02  -14.3410       9.99703       13.2062       9.99703       13.2062       0.00000       0.00000       23.2032       9.99703       7.86920       5.33702       0.00000       0.00000       0.00000    
  0.208923E-02  -12.9394       9.11709       11.7605       9.11709       11.7605       0.00000       0.00000       20.8776       9.11709       7.00561       4.75492       0.00000       0.00000       0.00000    
  0.229079E-02  -11.7466       8.34891       10.5070       8.34891       10.5070       0.00000       0.00000       18.8559       8.34891       6.25672       4.25024       0.00000       0.00000       0.00000    
  0.251180E-02  -10.6457       7.62986       9.33848       7.62986       9.33848       0.00000       0.00000       16.9683       7.62986       5.55863       3.77985       0.00000       0.00000       0.00000    
  0.275413E-02  -9.64729       6.96561       8.26491       6.96561       8.26491       0.00000       0.00000       15.2305       6.96561       4.91721       3.34770       0.00000       0.00000       0.00000    
  0.301984E-02  -8.79618       6.38009       7.32900       6.38009       7.32900       0.00000       0.00000       13.7091       6.38009       4.35798       2.97102       0.00000       0.00000       0.00000    
  0.331118E-02  -8.00653       5.82742       6.45094       5.82742       6.45094       0.00000       0.00000       12.2784       5.82742       3.83331       2.61764       0.00000       0.00000       0.00000    
  0.363064E-02  -7.32175       5.33083       5.67201       5.33083       5.67201       0.00000       0.00000       11.0028       5.33083       3.36782       2.30419       0.00000       0.00000       0.00000    
  0.398091E-02  -6.72269       4.88012       4.97521       4.88012       4.97521       0.00000       0.00000       9.85533       4.88012       2.95139       2.02381       0.00000       0.00000       0.00000    
  0.436498E-02  -6.17283       4.45574       4.32570       4.45574       4.32570       0.00000       0.00000       8.78144       4.45574       2.56321       1.76249       0.00000       0.00000       0.00000    
  0.478610E-02  -5.72222       4.08460       3.77286       4.08460       3.77286       0.00000       0.00000       7.85745       4.08460       2.23277       1.54008       0.00000       0.00000       0.00000    
  0.524785E-02  -5.31725       3.73801       3.26529       3.73801       3.26529       0.00000       0.00000       7.00330       3.73801       1.92939       1.33591       0.00000       0.00000       0.00000    
  0.575415E-02  -4.96014       3.41718       2.80521       3.41718       2.80521       0.00000       0.00000       6.22239       3.41718       1.65437       1.15084       0.00000       0.00000       0.00000    
  0.630929E-02  -4.67473       3.13511       2.41766       3.13511       2.41766       0.00000       0.00000       5.55277       3.13511       1.42270      0.994969       0.00000       0.00000       0.00000    
  0.691799E-02  -4.41842       2.86884       2.05993       2.86884       2.05993       0.00000       0.00000       4.92877       2.86884       1.20884      0.851090       0.00000       0.00000       0.00000    
  0.758542E-02  -4.21087       2.62911       1.75247       2.62911       1.75247       0.00000       0.00000       4.38158       2.62911       1.02504      0.727434       0.00000       0.00000       0.00000    
  0.831724E-02  -4.04462       2.41204       1.48826       2.41204       1.48826       0.00000       0.00000       3.90030       2.41204      0.867091      0.621172       0.00000       0.00000       0.00000    
  0.911966E-02  -4.08317       2.21942       1.27176       2.21942       1.27176       0.00000       0.00000       3.49118       2.21942      0.735385      0.536370       0.00000       0.00000       0.00000    
  0.999950E-02  -5.79539       2.15769       1.31435       2.15769       1.31435       0.00000       0.00000       3.47204       2.15769      0.738186      0.576163       0.00000       0.00000       0.00000    
  0.109642E-01  -6.76591       2.04766       1.25940       2.04766       1.25940       0.00000       0.00000       3.30705       2.04766      0.693793      0.565603       0.00000       0.00000       0.00000    
  0.120220E-01  -7.02283       1.89784       1.12280       1.89784       1.12280       0.00000       0.00000       3.02064       1.89784      0.611581      0.511218       0.00000       0.00000       0.00000    
  0.131819E-01  -7.31085       1.76170       1.01111       1.76170       1.01111       0.00000       0.00000       2.77281       1.76170      0.544308      0.466798       0.00000       0.00000       0.00000    
  0.144536E-01  -7.62700       1.63780      0.920933       1.63780      0.920933       0.00000       0.00000       2.55873       1.63780      0.489956      0.430977       0.00000       0.00000       0.00000    
  0.158481E-01  -7.96713       1.52421      0.848061       1.52421      0.848061       0.00000       0.00000       2.37227       1.52421      0.446004      0.402057       0.00000       0.00000       0.00000    
  0.173770E-01  -8.32937       1.42002      0.790113       1.42002      0.790113       0.00000       0.00000       2.21013       1.42002      0.411037      0.379076       0.00000       0.00000       0.00000    
  0.190535E-01  -8.71382       1.32516      0.745823       1.32516      0.745823       0.00000       0.00000       2.07098       1.32516      0.384312      0.361511       0.00000       0.00000       0.00000    
  0.208917E-01  -9.11803       1.23850      0.712335       1.23850      0.712335       0.00000       0.00000       1.95084       1.23850      0.364127      0.348208       0.00000       0.00000       0.00000    
  0.229073E-01  -9.53911       1.15876      0.686833       1.15876      0.686833       0.00000       0.00000       1.84559       1.15876      0.348801      0.338033       0.00000       0.00000       0.00000    
  0.251174E-01  -9.97563       1.08527      0.667543       1.08527      0.667543       0.00000       0.00000       1.75282       1.08527      0.337280      0.330263       0.00000       0.00000       0.00000    
